Id,SalePrice,OverallQual,ExterQual,ExterCond,OverallCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,LotArea,BsmtFullBath,BsmtHalfBath,YearBuilt,FullBath,HalfBath,TotRmsAbvGrd,BedroomAbvGr,KitchenAbvGr,HeatingQC,GarageCars,OpenPorchSF,YearRemodAdd,YrSold,PoolArea,WoodDeckSF,MasVnrArea,KitchenQual,Fireplaces,GarageArea,Neighborhood,MSZoning,BldgType,Functional,MSSubClass,Condition1,LotConfig,MasVnrType,SaleType,SaleCondition,Foundation,HouseStyle,Stories,HasPorch,IsRemodelled,PropertyAge,TotalBath,HasPool,HasDeck,OverallGrade,ExterGrade,TotalArea,CoreArea,Neighborhood_label,MSZoning_label,BldgType_label,Functional_label,MSSubClass_label,Condition1_label,LotConfig_label,MasVnrType_label,SaleType_label,SaleCondition_label,Foundation_label
11,129500,5,3,3,5,1040,1040,0,1040,11200,1,0,1965,2,0,5,3,1,5,1,0,1965,3,0,0,0.0,3,0,384,Sawyer,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,43,2.0,0,0,25,9,3120,2080,19,3,0,6,4,2,4,2,2,1,1
12,345000,9,5,3,5,1175,1182,1142,2324,11924,1,0,2005,4,0,11,4,1,5,3,21,2006,1,0,147,286.0,5,2,736,NridgHt,RL,1Fam,Typ,60,Norm,Inside,BrkFace,New,Partial,PConc,2Story,2,1,0,1,4.0,0,1,45,15,5823,3499,16,3,0,6,9,2,4,1,3,2,3
13,144000,5,3,3,6,912,912,0,912,12968,1,0,1962,2,0,4,2,1,3,1,0,1962,3,0,140,0.0,3,0,352,Sawyer,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,46,2.0,0,1,30,9,2736,1824,19,3,0,6,4,2,4,2,2,1,1
14,279500,7,4,3,5,1494,1494,0,1494,10652,0,0,2006,2,0,7,3,1,5,3,33,2007,2,0,160,306.0,4,1,840,CollgCr,RL,1Fam,Typ,20,Norm,Inside,BrkFace,New,Partial,PConc,1Story,1,1,0,1,2.0,0,1,35,12,4482,2988,5,3,0,6,4,2,4,1,3,2,3
15,157000,6,3,3,5,1253,1253,0,1253,10920,1,0,1960,2,1,5,2,1,3,1,213,1960,3,0,0,212.0,3,1,352,NAmes,RL,1Fam,Typ,20,Norm,Corner,BrkFace,Deed,Normal,CBlock,1Story,1,1,1,48,2.5,0,0,30,9,3759,2506,12,3,0,6,4,2,0,1,2,1,1
16,132000,7,3,3,8,832,854,0,854,6120,0,0,1929,1,0,5,2,1,5,2,112,2001,2,0,48,0.0,3,0,576,BrkSide,RM,1Fam,Typ,45,Norm,Corner,None,Deed,Normal,BrkTil,1.5Unf,1,1,0,78,1.0,0,1,56,9,2540,1686,3,4,0,6,7,2,0,2,2,1,0
17,149000,6,3,3,7,1004,1004,0,1004,11241,1,0,1970,2,0,5,2,1,5,2,0,1970,5,0,0,180.0,3,1,480,NAmes,RL,1Fam,Typ,20,Norm,CulDSac,BrkFace,Deed,Normal,CBlock,1Story,1,0,1,40,2.0,0,0,42,9,3012,2008,12,3,0,6,4,2,1,1,2,1,1
18,90000,4,3,3,5,0,1296,0,1296,10791,0,0,1967,2,0,6,2,2,3,2,0,1967,1,0,0,0.0,3,0,516,Sawyer,RL,Duplex,Typ,90,Norm,Inside,None,Deed,Normal,Other,1Story,1,0,1,39,2.0,0,0,20,9,2592,1296,19,3,2,6,14,2,4,2,2,1,2
19,159000,5,3,3,5,1114,1114,0,1114,13695,1,0,2004,2,1,6,3,1,5,2,102,2004,3,0,0,0.0,4,0,576,SawyerW,RL,1Fam,Typ,20,RRAe,Inside,None,Deed,Normal,PConc,1Story,1,1,1,4,2.5,0,0,25,9,3342,2228,20,3,0,6,4,5,4,2,2,1,3
20,139000,5,3,3,6,1029,1339,0,1339,7560,0,0,1958,1,0,6,3,1,3,1,0,1965,4,0,0,0.0,3,0,294,NAmes,RL,1Fam,Min1,20,Norm,Inside,None,CO,Abnorml,CBlock,1Story,1,0,0,51,1.0,0,0,30,9,3707,2368,12,3,0,2,4,2,4,2,0,0,1
21,325300,8,4,3,5,1158,1158,1218,2376,14215,0,0,2005,3,1,9,4,1,5,3,154,2006,1,0,240,380.0,4,1,853,NridgHt,RL,1Fam,Typ,60,Norm,Corner,BrkFace,New,Partial,PConc,2Story,2,1,0,1,3.5,0,1,40,12,5910,3534,16,3,0,6,9,2,0,1,3,2,3
22,139400,7,3,3,7,637,1108,0,1108,7449,0,0,1930,1,0,6,3,1,5,1,0,1950,2,0,0,0.0,4,1,280,IDOTRR,RM,1Fam,Typ,45,Norm,Inside,None,Deed,Normal,PConc,1.5Unf,1,0,0,77,1.0,0,0,49,9,2853,1745,9,4,0,6,7,2,4,2,2,1,3
23,230000,8,4,3,5,1777,1795,0,1795,9742,0,0,2002,2,0,7,3,1,5,2,159,2002,3,0,171,281.0,4,1,534,CollgCr,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,1,6,2.0,0,1,40,12,5367,3572,5,3,0,6,4,2,4,1,2,1,3
24,129900,5,3,3,7,1040,1060,0,1060,4224,1,0,1976,2,0,6,3,1,3,2,110,1976,2,0,100,0.0,3,1,572,MeadowV,RM,TwnhsE,Typ,120,Norm,Inside,None,Deed,Normal,PConc,1Story,1,1,1,31,2.0,0,1,35,9,3160,2100,10,4,4,6,0,2,4,2,2,1,3
25,154000,5,3,4,8,1060,1060,0,1060,8246,1,0,1968,2,0,6,3,1,5,1,90,2001,5,0,406,0.0,4,1,270,Sawyer,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,1,0,42,2.0,0,1,40,12,3180,2120,19,3,0,6,4,2,4,2,2,1,1
26,256300,8,4,3,5,1566,1600,0,1600,14230,0,0,2007,2,0,7,3,1,5,3,56,2007,4,0,0,640.0,4,1,890,NridgHt,RL,1Fam,Typ,20,Norm,Corner,BrkFace,Deed,Normal,PConc,1Story,1,1,1,2,2.0,0,0,40,12,4766,3166,16,3,0,6,4,2,0,1,2,1,3
27,134800,5,3,3,7,900,900,0,900,7200,0,1,1951,1,1,5,3,1,3,2,32,2000,5,0,222,0.0,4,0,576,NAmes,RL,1Fam,Typ,20,Norm,Corner,None,Deed,Normal,CBlock,1Story,1,1,0,59,1.5,0,1,35,9,2700,1800,12,3,0,6,4,2,0,2,2,1,1
28,306000,8,4,3,5,1704,1704,0,1704,11478,1,0,2007,3,0,7,3,1,5,3,50,2008,5,0,0,200.0,4,1,772,NridgHt,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,0,3,3.0,0,0,40,12,5112,3408,16,3,0,6,4,2,4,1,2,1,3
29,207500,5,3,3,6,1484,1600,0,1600,16321,1,0,1957,2,0,6,2,1,3,1,258,1997,1,0,288,0.0,3,2,319,NAmes,RL,1Fam,Typ,20,Norm,CulDSac,None,Deed,Normal,CBlock,1Story,1,1,0,49,2.0,0,1,30,9,4684,3084,12,3,0,6,4,2,1,2,2,1,1
30,68500,4,3,3,6,520,520,0,520,6324,0,0,1927,1,0,4,1,1,2,1,0,1950,3,0,49,0.0,2,0,240,BrkSide,RM,1Fam,Typ,30,Feedr,Inside,None,Deed,Normal,BrkTil,1Story,1,0,0,81,1.0,0,1,24,9,1560,1040,3,4,0,6,5,1,4,2,2,1,0
31,40000,4,3,2,4,649,649,668,1317,8500,0,0,1920,1,0,6,3,1,3,1,54,1950,3,0,0,0.0,3,0,250,IDOTRR,C (all),1Fam,Typ,70,Feedr,Inside,None,Deed,Normal,BrkTil,2Story,2,1,0,88,1.0,0,0,16,6,3283,1966,9,0,0,6,10,1,4,2,2,1,0
32,149350,5,3,3,6,1228,1228,0,1228,8544,0,0,1966,1,1,6,3,1,4,1,65,2006,3,0,0,0.0,4,0,271,Sawyer,RL,1Fam,Typ,20,Norm,CulDSac,None,Deed,Normal,CBlock,1Story,1,1,0,42,1.5,0,0,30,9,3684,2456,19,3,0,6,4,2,1,2,2,1,1
33,179900,8,4,3,5,1234,1234,0,1234,11049,0,0,2007,2,0,7,3,1,5,2,30,2007,3,0,0,0.0,4,0,484,CollgCr,RL,1Fam,Typ,20,Norm,Corner,None,Deed,Normal,PConc,1Story,1,1,1,1,2.0,0,0,40,12,3702,2468,5,3,0,6,4,2,0,2,2,1,3
34,165500,5,3,3,5,1398,1700,0,1700,10552,0,1,1959,1,2,6,4,1,4,2,38,1959,5,0,0,0.0,4,1,447,NAmes,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,1,1,51,2.0,0,0,25,9,4798,3098,12,3,0,6,4,2,4,2,2,1,1
35,277500,9,5,3,5,1561,1561,0,1561,7313,1,0,2005,3,0,6,2,1,5,2,47,2005,2,0,203,246.0,5,1,556,NridgHt,RL,TwnhsE,Typ,120,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,1,2,3.0,0,1,45,15,4683,3122,16,3,4,6,0,2,4,1,2,1,3
36,309000,8,4,3,5,1117,1132,1320,2452,13418,0,0,2004,3,1,9,4,1,5,3,32,2005,1,0,113,132.0,4,1,691,NridgHt,RL,1Fam,Typ,60,Norm,Inside,BrkFace,Deed,Normal,PConc,2Story,2,1,0,2,3.5,0,1,40,12,6021,3569,16,3,0,6,9,2,4,1,2,1,3
37,145000,5,3,3,5,1097,1097,0,1097,10859,0,0,1994,1,1,6,3,1,5,2,64,1995,4,0,392,0.0,3,0,672,CollgCr,RL,1Fam,Typ,20,Norm,Corner,None,Deed,Normal,PConc,1Story,1,1,0,15,1.5,0,1,25,9,3291,2194,5,3,0,6,4,2,0,2,2,1,3
38,153000,5,3,3,6,1297,1297,0,1297,8532,0,1,1954,1,1,5,3,1,4,2,0,1990,4,0,0,650.0,3,1,498,NAmes,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,CBlock,1Story,1,0,0,55,1.5,0,0,30,9,3891,2594,12,3,0,6,4,2,4,1,2,1,1
39,109000,5,3,4,7,1057,1057,0,1057,7922,1,0,1953,2,0,5,3,1,3,1,52,2007,5,0,0,0.0,4,0,246,NAmes,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Abnorml,CBlock,1Story,1,1,0,57,2.0,0,0,35,12,3171,2114,12,3,0,6,4,2,4,2,2,0,1
40,82000,4,3,3,5,0,1152,0,1152,6040,0,0,1955,2,0,6,2,2,3,0,0,1955,3,0,0,0.0,2,0,0,Edwards,RL,Duplex,Typ,90,Norm,Inside,None,Deed,Abnorml,PConc,1Story,1,0,1,53,2.0,0,0,20,9,2304,1152,7,3,2,6,14,2,4,2,2,0,3
41,160000,6,3,3,5,1088,1324,0,1324,8658,0,0,1965,2,0,6,3,1,5,2,138,1965,1,0,0,101.0,3,1,440,NAmes,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Abnorml,CBlock,1Story,1,1,1,41,2.0,0,0,30,9,3736,2412,12,3,0,6,4,2,4,1,2,0,1
42,170000,5,3,4,6,1350,1328,0,1328,16905,0,1,1959,1,2,5,2,1,4,1,104,1959,2,0,0,0.0,3,2,308,Timber,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,1,1,48,2.0,0,0,30,12,4006,2678,23,3,0,6,4,2,4,2,2,1,1
43,144000,5,3,3,7,840,884,0,884,9180,1,0,1983,2,0,5,2,1,4,2,0,1983,2,0,240,0.0,4,0,504,SawyerW,RL,1Fam,Typ,85,Norm,CulDSac,None,Deed,Normal,CBlock,SFoyer,S,0,1,24,2.0,0,1,35,9,2608,1724,20,3,0,6,13,2,1,2,2,1,1
44,130250,5,3,3,6,938,938,0,938,9200,1,0,1975,2,0,5,3,1,3,1,0,1980,3,0,145,0.0,3,0,308,CollgCr,RL,1Fam,Typ,20,Norm,CulDSac,None,Deed,Normal,CBlock,1Story,1,0,0,33,2.0,0,1,30,9,2814,1876,5,3,0,6,4,2,1,2,2,1,1
45,141000,5,3,3,6,1150,1150,0,1150,7945,1,0,1959,2,0,6,3,1,5,1,0,1959,1,0,0,0.0,3,0,300,NAmes,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,47,2.0,0,0,30,9,3450,2300,12,3,0,6,4,2,4,2,2,1,1
46,319900,9,5,3,5,1752,1752,0,1752,7658,1,0,2005,3,0,6,2,1,5,2,82,2005,5,0,196,412.0,5,1,576,NridgHt,RL,TwnhsE,Typ,120,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,1,5,3.0,0,1,45,15,5256,3504,16,3,4,6,0,2,4,1,2,1,3
47,239686,7,4,3,5,1434,1518,631,2149,12822,1,0,2003,2,1,6,1,1,5,2,43,2003,4,0,168,0.0,4,1,670,Mitchel,RL,1Fam,Typ,50,Norm,CulDSac,None,Deed,Abnorml,PConc,1.5Fin,1,1,1,6,2.5,0,1,35,12,5732,3583,11,3,0,6,8,2,1,2,2,0,3
48,249700,8,4,3,5,1656,1656,0,1656,11096,0,0,2006,2,0,7,3,1,5,3,146,2006,2,0,0,0.0,4,0,826,Somerst,FV,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,PConc,1Story,1,1,1,1,2.0,0,0,40,12,4968,3312,21,1,0,6,4,2,4,2,2,1,3
49,113000,4,3,3,5,736,736,716,1452,4456,0,0,1920,2,0,8,2,3,4,0,0,2008,4,0,0,0.0,3,0,0,OldTown,RM,2fmCon,Typ,190,Norm,Inside,None,New,Partial,BrkTil,2Story,2,0,0,89,2.0,0,0,20,9,3640,2188,17,4,1,6,3,2,4,2,3,2,0
50,127000,5,3,3,7,955,955,0,955,7742,1,0,1966,2,0,6,3,1,5,1,0,1966,2,0,0,0.0,3,0,386,Sawyer,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,41,2.0,0,0,35,9,2865,1910,19,3,0,6,4,2,4,2,2,1,1
51,177000,6,3,3,6,794,794,676,1470,13869,0,1,1997,2,1,6,3,1,4,2,75,1997,2,0,0,0.0,3,0,388,Gilbert,RL,1Fam,Typ,60,Norm,Corner,None,Deed,Normal,PConc,2Story,2,1,1,10,2.5,0,0,36,9,3734,2264,8,3,0,6,9,2,0,2,2,1,3
52,114500,6,3,3,6,816,816,0,1176,6240,0,0,1934,1,0,6,3,1,3,2,0,1950,1,0,112,0.0,3,1,528,BrkSide,RM,1Fam,Typ,50,Norm,Inside,None,Deed,Normal,PConc,1.5Fin,1,0,0,72,1.0,0,1,36,9,2808,1992,3,4,0,6,8,2,4,2,2,1,3
53,110000,5,2,3,5,816,816,0,816,8472,1,0,1963,2,0,5,2,1,3,2,0,1963,5,0,106,0.0,3,0,516,IDOTRR,RM,Duplex,Typ,90,RRNn,Corner,None,Deed,Normal,CBlock,1Story,1,0,1,47,2.0,0,1,25,6,2448,1632,9,4,2,6,14,8,0,2,2,1,1
54,385000,9,4,3,5,1842,1842,0,1842,50271,2,0,1981,2,1,5,0,1,4,3,72,1987,1,0,857,0.0,4,1,894,Veenker,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,1,0,25,2.5,0,1,45,12,5526,3684,24,3,0,6,4,2,4,2,2,1,1
55,130000,5,3,3,5,384,1360,0,1360,7134,0,0,1955,1,0,6,3,1,3,2,50,1955,2,0,0,0.0,3,1,572,NAmes,RL,1Fam,Min1,80,Norm,Inside,None,Deed,Normal,CBlock,SLvl,S,1,1,52,1.0,0,0,25,9,3104,1744,12,3,0,2,12,2,4,2,2,1,1
56,180500,6,3,3,5,1425,1425,0,1425,10175,0,0,1964,2,0,7,3,1,4,2,0,1964,3,0,0,272.0,3,1,576,NAmes,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,CBlock,1Story,1,0,1,44,2.0,0,0,30,9,4275,2850,12,3,0,6,4,2,4,1,2,1,1
57,172500,8,4,3,5,970,983,756,1739,2645,1,0,1999,3,1,7,3,1,5,2,0,2000,4,0,115,456.0,4,0,480,Somerst,FV,Twnhs,Typ,160,Norm,Inside,BrkFace,Deed,Abnorml,PConc,2Story,2,0,0,10,3.5,0,1,40,12,4448,2709,21,1,3,6,1,2,4,1,2,0,3
58,196500,7,4,3,5,860,860,860,1720,11645,0,0,2004,2,1,7,3,1,5,2,70,2004,1,0,0,0.0,4,0,565,CollgCr,RL,1Fam,Typ,60,Norm,Corner,None,Deed,Normal,PConc,2Story,2,1,1,2,2.5,0,0,35,12,4300,2580,5,3,0,6,9,2,0,2,2,1,3
59,438780,10,5,3,5,1410,1426,1519,2945,13682,0,0,2006,3,1,10,3,1,5,3,0,2006,1,0,192,1031.0,4,1,641,StoneBr,RL,1Fam,Typ,60,Norm,CulDSac,BrkFace,New,Partial,PConc,2Story,2,0,1,0,3.5,0,1,50,15,7300,4355,22,3,0,6,9,2,1,1,3,2,3
60,124900,5,3,3,7,780,780,0,780,7200,0,0,1972,1,0,4,2,1,5,1,0,1972,3,0,196,0.0,3,0,352,CollgCr,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,36,1.0,0,1,35,9,2340,1560,5,3,0,6,4,2,4,2,2,1,1
61,158000,6,3,3,5,1158,1158,0,1158,13072,1,0,2004,2,1,5,3,1,5,2,50,2004,1,0,0,0.0,4,0,576,SawyerW,RL,1Fam,Typ,20,RRAe,Inside,None,New,Partial,PConc,1Story,1,1,1,2,2.5,0,0,30,9,3474,2316,20,3,0,6,4,5,4,2,3,2,3
62,101000,5,3,3,7,530,581,530,1111,7200,0,0,1920,1,0,6,3,1,3,1,0,1996,2,0,0,0.0,2,0,288,IDOTRR,RM,1Fam,Typ,75,Norm,Inside,None,Deed,Normal,BrkTil,2.5Unf,2,0,0,87,1.0,0,0,35,9,2752,1641,9,4,0,6,11,2,4,2,2,1,0
63,202500,8,4,3,5,1370,1370,0,1370,6442,0,0,2006,2,0,6,2,1,5,2,49,2006,2,0,120,178.0,4,1,484,NridgHt,RL,TwnhsE,Typ,120,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,1,1,2.0,0,1,40,12,4110,2740,16,3,4,6,0,2,4,1,2,1,3
64,140000,7,3,3,6,576,902,808,1710,10300,0,0,1921,2,0,9,3,1,4,2,11,1950,5,0,12,0.0,3,0,480,OldTown,RM,1Fam,Typ,70,RRAn,Inside,None,Deed,Normal,BrkTil,2Story,2,1,0,89,2.0,0,1,42,9,3996,2286,17,4,0,6,10,6,4,2,2,1,0
65,219500,7,3,3,5,1057,1057,977,2034,9375,1,0,1997,3,1,8,3,1,5,2,36,1998,4,0,576,573.0,4,0,645,CollgCr,RL,1Fam,Typ,60,Norm,Inside,BrkFace,Deed,Normal,PConc,2Story,2,1,0,12,3.5,0,1,35,9,5125,3091,5,3,0,6,9,2,4,1,2,1,3
66,317000,8,4,3,5,1143,1143,1330,2473,9591,0,0,2004,2,1,9,4,1,5,3,151,2005,2,0,192,344.0,4,1,852,NridgHt,RL,1Fam,Typ,60,Norm,Inside,BrkFace,Deed,Normal,PConc,2Story,2,1,0,3,2.5,0,1,40,12,6089,3616,16,3,0,6,9,2,4,1,2,1,3
67,180000,7,3,3,5,1947,2207,0,2207,19900,1,0,1970,3,0,7,3,1,3,2,0,1989,5,0,301,287.0,3,1,576,NAmes,RL,1Fam,Min1,20,PosA,Inside,BrkFace,Deed,Normal,CBlock,1Story,1,0,0,40,3.0,0,1,35,9,6361,4154,12,3,0,2,4,3,4,1,2,1,1
68,226000,7,4,3,5,1453,1479,0,1479,10665,1,0,2003,3,0,7,3,1,5,2,29,2003,2,0,144,167.0,4,0,558,CollgCr,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,1,4,3.0,0,1,35,12,4411,2932,5,3,0,6,4,2,4,1,2,1,3
69,80000,4,3,4,6,747,747,0,747,4608,0,0,1945,1,0,4,2,1,3,1,0,1950,5,0,0,0.0,3,0,220,OldTown,RM,1Fam,Typ,30,Artery,Corner,None,Deed,Normal,CBlock,1Story,1,0,0,65,1.0,0,0,24,12,2241,1494,17,4,0,6,5,0,0,2,2,1,1
70,225000,7,4,3,4,1304,1304,983,2287,15593,0,0,1953,2,0,7,3,1,3,2,21,1953,1,0,0,0.0,3,1,667,ClearCr,RL,1Fam,Typ,50,Norm,Corner,None,Deed,Normal,CBlock,1.5Fin,1,1,1,53,2.0,0,0,28,12,5878,3591,4,3,0,6,8,2,0,2,2,1,1
71,244000,7,3,4,6,2223,2223,0,2223,13651,1,0,1973,3,0,8,3,1,5,2,0,1973,2,0,300,1115.0,3,2,516,NAmes,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,CBlock,1Story,1,0,1,34,3.0,0,1,42,12,6669,4446,12,3,0,6,4,2,4,1,2,1,1
72,129500,4,3,3,6,845,845,0,845,7599,1,0,1982,2,0,4,2,1,3,2,0,2006,2,0,0,0.0,3,0,360,Mitchel,RL,1Fam,Typ,20,Norm,Corner,None,Deed,Normal,CBlock,1Story,1,0,0,25,2.0,0,0,24,9,2535,1690,11,3,0,6,4,2,0,2,2,1,1
73,185000,7,3,3,5,832,885,833,1718,10141,0,0,1998,2,1,7,3,1,4,2,94,1998,4,0,0,40.0,3,1,427,Gilbert,RL,1Fam,Typ,60,Norm,Corner,BrkFace,Deed,Normal,PConc,2Story,2,1,1,11,2.5,0,0,35,9,4268,2550,8,3,0,6,9,2,0,1,2,1,3
74,144900,5,3,3,7,1086,1086,0,1086,10200,1,0,1954,2,0,6,3,1,4,2,0,2003,5,0,0,104.0,3,0,490,NAmes,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,CBlock,1Story,1,0,0,56,2.0,0,0,35,9,3258,2172,12,3,0,6,4,2,4,1,2,1,1
75,107400,3,4,4,6,840,840,765,1605,5790,0,0,1915,2,0,8,3,2,4,1,0,1950,5,0,0,0.0,3,0,379,OldTown,RM,1Fam,Typ,50,Norm,Corner,None,Deed,Normal,CBlock,2Story,2,0,0,95,2.0,0,0,18,16,4050,2445,17,4,0,6,8,2,0,2,2,1,1
76,91000,4,3,3,5,462,526,462,988,1596,1,0,1973,2,0,5,2,1,3,1,101,1973,4,0,120,0.0,3,0,297,MeadowV,RM,Twnhs,Typ,180,Norm,Inside,None,Deed,Normal,CBlock,SLvl,S,1,1,36,2.0,0,1,20,9,2438,1450,10,4,3,6,2,2,4,2,2,1,1
77,135750,4,3,3,7,952,952,0,952,8475,0,0,1956,1,0,4,2,1,5,1,0,1956,3,0,0,0.0,3,0,283,NAmes,RL,1Fam,Typ,20,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,52,1.0,0,0,28,9,2856,1904,12,3,0,6,4,2,4,2,2,1,1
78,127000,5,3,3,5,672,1072,213,1285,8635,1,0,1948,2,0,6,2,1,3,1,0,2001,3,0,0,0.0,3,0,240,BrkSide,RM,1Fam,Min1,50,Norm,Inside,None,Deed,Normal,CBlock,1.5Fin,1,0,0,60,2.0,0,0,25,9,3242,1957,3,4,0,2,8,2,4,2,2,1,1
79,136500,4,3,3,5,1768,1768,0,1768,10778,0,0,1968,2,0,8,4,2,3,0,0,1968,5,0,0,0.0,3,0,0,Sawyer,RL,Duplex,Typ,90,Norm,Inside,None,Deed,Normal,CBlock,1Story,1,0,1,42,2.0,0,0,20,9,5304,3536,19,3,2,6,14,2,4,2,2,1,1
