OverallQual,TotalArea,GarageCars,PropertyAge,MSSubClass,MSZoning,Neighborhood,HasPorch,HasDeck,LotConfig,HouseStyle,SaleType,SaleCondition,SalePrice
6,4275,2,44,20,RL,12,1,0,Inside,1Story,WD,Normal,180500
8,4448,2,10,160,FV,6,0,1,Inside,2Story,WD,Abnorml,172500
7,4300,2,2,60,RL,1,1,0,Corner,2Story,WD,Normal,196500
10,7300,3,0,60,RL,19,1,1,CulDSac,2Story,New,Partial,438780
5,2340,1,36,20,RL,1,0,1,Inside,1Story,WD,Normal,124900
6,3474,2,2,20,RL,13,1,0,Inside,1Story,New,Partial,158000
5,2752,1,87,75,RM,14,1,0,Inside,2.5Unf,WD,Normal,101000
8,4110,2,1,120,RL,11,1,1,Inside,1Story,WD,Normal,202500
7,3996,2,89,70,RM,8,1,1,Inside,2Story,WD,Normal,140000
7,5125,2,12,60,RL,1,1,1,Inside,2Story,WD,Normal,219500
8,6089,3,3,60,RL,11,1,1,Inside,2Story,WD,Normal,317000
7,6361,2,40,20,RL,12,0,1,Inside,1Story,WD,Normal,180000
7,4411,2,4,20,RL,1,1,1,Inside,1Story,WD,Normal,226000
4,2241,1,65,30,RM,8,0,0,Corner,1Story,WD,Normal,80000
7,5878,2,53,50,RL,20,1,0,Corner,1.5Fin,WD,Normal,225000
7,6669,2,34,20,RL,12,0,1,Inside,1Story,WD,Normal,244000
4,2535,2,25,20,RL,5,0,0,Corner,1Story,WD,Normal,129500
7,4268,2,11,60,RL,18,1,0,Corner,2Story,WD,Normal,185000
5,3258,2,56,20,RL,12,0,0,Inside,1Story,WD,Normal,144900
3,4050,1,95,50,RM,8,1,0,Corner,2Story,WD,Normal,107400
4,2438,1,36,180,RM,15,1,1,Inside,SLvl,WD,Normal,91000
4,2856,1,52,20,RL,12,0,0,Inside,1Story,WD,Normal,135750
5,3242,1,60,50,RM,9,0,0,Inside,1.5Fin,WD,Normal,127000
4,5304,0,42,90,RL,10,0,0,Inside,1Story,WD,Normal,136500
5,2900,2,99,50,RM,8,1,1,Corner,2Story,WD,Normal,110000
6,5180,1,41,60,RL,12,1,0,Corner,2Story,WD,Normal,193500
6,3911,2,8,120,RM,5,1,0,FR2,1Story,WD,Normal,153500
8,4689,3,1,20,RL,6,1,1,Inside,1Story,WD,Normal,245000
5,3195,2,47,20,RL,12,0,1,Inside,1Story,COD,Normal,126500
7,3332,2,14,80,RL,18,1,1,Inside,SLvl,WD,Normal,168500
8,6122,2,15,60,RL,4,1,1,Corner,2Story,WD,Normal,260000
6,3804,2,4,60,RL,18,1,1,Inside,2Story,WD,Normal,174000
6,3060,2,0,160,FV,6,1,0,Corner,2Story,New,Partial,164500
3,3552,0,94,50,C (all),14,1,0,Corner,1.5Fin,ConLD,Abnorml,85000
4,2970,0,13,20,RL,1,0,0,Inside,1Story,WD,Normal,123600
4,2080,2,56,20,RL,12,1,0,Inside,1Story,WD,Normal,109900
5,3705,2,45,20,RL,12,0,0,Inside,1Story,WD,Abnorml,98600
5,2804,2,88,30,RL,3,1,0,Inside,1Story,WD,Normal,163500
6,5796,2,97,190,C (all),8,1,0,Corner,2.5Unf,WD,Normal,133900
6,4396,2,10,60,RL,1,1,0,Inside,2Story,WD,Normal,204750
6,3620,2,16,60,RL,18,1,1,Corner,2Story,WD,Normal,185000
7,4764,2,7,20,RL,1,1,1,Inside,1Story,WD,Normal,214000
4,2880,1,42,20,RL,16,0,1,Inside,1Story,WD,Normal,94750
5,2128,1,90,30,RL,16,1,0,Corner,1Story,COD,Abnorml,83000
4,3400,0,51,20,RL,12,0,1,Inside,1Story,WD,Normal,128950
6,4830,2,33,20,RL,7,1,1,Inside,1Story,WD,Normal,205000
6,4205,2,25,60,RL,13,1,1,Inside,2Story,WD,Normal,178000
5,3070,2,30,90,RL,13,0,0,Inside,1Story,WD,Alloca,118964
7,3678,3,1,20,RL,1,1,0,Corner,1Story,WD,Normal,198900
7,4676,1,76,50,RM,14,1,0,Corner,1.5Fin,WD,Normal,169500
8,5037,2,5,60,FV,6,1,1,Inside,2Story,WD,Normal,250000
4,2735,1,122,30,RM,8,0,0,Inside,1Story,WD,Normal,100000
5,2367,1,60,20,RM,8,0,0,Inside,1Story,WD,Partial,115000
5,3827,0,88,50,RM,14,1,0,Corner,1.5Fin,WD,Normal,115000
6,5532,2,33,20,RL,7,1,0,Inside,1Story,COD,Normal,190000
6,4704,1,52,50,RL,16,0,1,Inside,1.5Fin,WD,Normal,136900
7,3244,2,10,80,RL,18,0,1,Inside,SLvl,WD,Normal,180000
7,6656,3,0,60,RL,1,1,1,Inside,2Story,New,Partial,383970
6,6327,2,54,20,RL,3,1,1,Corner,1Story,COD,Abnorml,217000
6,5668,1,62,70,RL,3,0,1,Inside,2Story,WD,Normal,259500
6,3645,2,8,160,FV,6,1,0,Corner,2Story,WD,Normal,176000
5,3276,1,47,20,RL,10,1,0,Inside,1Story,WD,Normal,139000
5,3375,2,1,20,RL,16,1,1,Corner,1Story,New,Partial,155000
7,8117,3,20,60,RL,13,0,1,Corner,2Story,WD,Normal,320000
6,3640,2,1,60,RL,1,1,0,Inside,2Story,New,Partial,163990
6,2914,2,37,80,RL,20,1,0,CulDSac,SLvl,WD,Normal,180000
4,2978,1,68,50,RM,14,1,0,Inside,1.5Fin,WD,Normal,100000
6,3240,1,50,20,RL,12,1,0,Corner,1Story,WD,Normal,136000
6,3597,2,15,120,RL,13,1,0,Inside,1Story,WD,Normal,153900
6,4534,2,30,20,RL,7,0,1,CulDSac,1Story,WD,Normal,181000
6,1794,0,71,190,RM,14,0,1,Inside,1.5Fin,WD,Normal,84500
6,2994,2,31,120,RL,21,1,0,Inside,1Story,WD,Normal,128000
5,2352,0,77,45,RM,8,0,0,Inside,1.5Unf,WD,Normal,87000
6,3356,2,40,60,RL,12,1,1,Inside,2Story,WD,Normal,155000
5,3114,2,48,20,RL,12,1,0,Inside,1Story,WD,Abnorml,150000
7,5238,2,40,60,RL,12,1,1,Corner,2Story,WD,Normal,226000
6,5100,2,9,60,RL,18,1,1,Corner,2Story,WD,Normal,244000
5,3717,2,48,20,RL,12,0,0,Corner,1Story,WD,Normal,150750
8,3859,2,8,20,RL,17,1,1,Inside,1Story,WD,Normal,220000
5,4903,2,38,20,RL,10,1,0,Inside,1Story,WD,Normal,180000
7,4668,2,38,20,RL,7,0,1,Inside,1Story,WD,Normal,174000
5,3642,1,40,20,RL,12,1,0,Corner,1Story,WD,Normal,143000
7,5825,3,18,90,RL,5,0,0,Inside,1Story,WD,Family,171000
8,4708,3,9,60,RL,1,1,1,Inside,2Story,WD,Normal,230000
6,4456,2,12,60,RL,1,1,1,Inside,2Story,WD,Normal,231500
4,2592,0,39,20,RL,12,0,0,FR2,1Story,ConLI,Normal,115000
7,5202,2,1,20,RL,1,1,1,Inside,1Story,WD,Normal,260000
5,3680,2,58,50,RL,12,0,0,Corner,1.5Fin,WD,Normal,166000
7,4492,2,10,20,RL,1,1,1,Inside,1Story,WD,Normal,204000
5,5184,2,43,90,RM,10,0,0,Inside,1Story,ConLI,Abnorml,125000
6,4388,2,2,160,RM,16,1,0,Inside,2Story,WD,Normal,130000
5,2465,1,78,30,RM,9,0,1,Corner,1Story,WD,Normal,105000
7,4954,2,9,60,RL,18,1,1,CulDSac,2Story,WD,Normal,222500
7,3240,0,4,20,RL,13,0,0,Inside,1Story,WD,Normal,141000
5,3584,1,70,50,RM,9,1,1,Inside,1.5Fin,WD,Normal,115000
5,2907,2,32,20,RL,1,0,0,Corner,1Story,WD,Normal,122000
8,5130,3,1,20,RL,11,1,0,Inside,1Story,New,Partial,372402
6,4811,2,35,60,RL,7,1,0,CulDSac,2Story,WD,Normal,190000
6,4106,2,48,20,RL,20,0,1,Inside,1Story,WD,Normal,235000
6,3600,1,83,30,RM,8,1,0,Corner,1Story,WD,Family,125000
6,2764,0,84,50,RL,16,1,0,Corner,1.5Fin,WD,Normal,79000
5,2080,2,56,20,RL,12,0,0,Inside,1Story,WD,Normal,109500
8,4710,3,1,60,RL,17,1,0,Corner,2Story,New,Partial,269500
7,4885,2,6,60,FV,6,1,0,Corner,2Story,WD,Normal,254900
7,6316,2,1,60,RL,18,1,1,Corner,2Story,New,Partial,320000
6,3696,2,24,20,RL,2,0,0,CulDSac,1Story,WD,Normal,162500
9,6908,3,5,60,RL,11,0,1,Inside,2Story,WD,Normal,412500
7,4623,2,5,20,RL,11,1,0,Corner,1Story,New,Partial,220000
4,2646,0,51,45,RL,8,0,0,Inside,1.5Unf,WD,Normal,103200
6,4381,1,81,40,RM,8,1,0,Corner,1Story,WD,Normal,152000
5,3354,0,68,190,RL,16,0,1,Inside,1.5Fin,WD,Normal,127500
5,5351,1,54,20,RL,20,1,1,Inside,1Story,COD,Normal,190000
8,5904,3,0,60,RL,11,1,1,Inside,2Story,New,Partial,325624
7,4280,2,3,60,RL,18,1,1,Inside,2Story,WD,Normal,183500
8,5100,2,25,20,RL,17,1,1,Corner,1Story,WD,Normal,228000
5,2956,2,66,50,RM,8,0,1,Inside,1.5Fin,WD,Normal,128500
6,4392,2,50,20,RL,12,1,1,Corner,1Story,WD,Normal,215000
7,4598,2,19,160,RL,19,1,1,Inside,2Story,WD,Normal,239000
6,4086,2,47,20,RL,12,1,0,Inside,1Story,COD,Normal,163000
6,4908,2,22,20,RL,17,0,1,Inside,1Story,WD,Normal,184000
6,5518,2,57,20,RL,16,1,0,Corner,1Story,WD,Normal,243000
6,5271,2,19,60,RL,20,1,0,Corner,2Story,WD,Normal,211000
5,4892,2,48,50,RL,10,0,0,Inside,1.5Fin,WD,Normal,172500
9,6684,3,1,20,RL,19,1,0,CulDSac,1Story,New,Partial,501837
5,2904,2,84,30,RM,8,1,0,Inside,1Story,WD,Normal,100000
6,3806,2,7,160,FV,6,0,0,Inside,2Story,WD,Normal,177000
7,4397,1,86,70,RL,3,1,0,Inside,2Story,WD,Normal,200100
5,2680,1,50,20,RL,16,1,1,Inside,1Story,WD,Normal,120000
7,5526,2,5,50,RM,8,1,1,Inside,1.5Fin,WD,Normal,200000
5,3008,2,98,50,RL,9,0,1,Inside,1.5Fin,WD,Normal,127000
10,7751,3,114,75,RM,8,1,0,Inside,2.5Fin,WD,Normal,475000
7,3622,2,19,80,RL,5,1,1,CulDSac,SLvl,WD,Normal,173000
5,3828,1,93,50,RL,8,1,0,Inside,1.5Fin,WD,Normal,135000
5,3534,2,30,90,RL,13,0,1,Inside,SFoyer,WD,Alloca,153337
8,4779,2,7,120,RL,19,1,0,Inside,1Story,WD,Normal,286000
8,6307,2,75,70,RL,3,1,0,Inside,2Story,WD,Normal,315000
7,3683,2,35,60,RL,12,1,0,CulDSac,2Story,WD,Normal,184000
7,4293,2,10,20,RL,1,1,0,Inside,1Story,WD,Normal,192000
7,4388,2,2,160,RM,16,1,0,Inside,2Story,WD,Normal,130000
5,2592,1,36,20,RL,1,0,0,Inside,1Story,WD,Normal,127000
6,3767,2,33,160,RL,21,0,1,FR2,2Story,WD,Normal,148500
7,5178,3,0,20,RL,6,1,1,Inside,1Story,New,Partial,311872
8,7192,2,88,75,RL,12,1,0,Corner,2Story,WD,Abnorml,235000
6,4842,0,97,75,RM,8,1,0,Corner,2.5Fin,WD,Abnorml,104000
8,5139,3,5,20,RL,11,1,0,Inside,1Story,WD,Normal,274900
4,3363,2,7,20,RM,16,1,1,Corner,1Story,WD,Normal,140000
6,3754,2,31,20,RL,5,1,1,Inside,1Story,WD,Normal,171500
6,3237,1,82,50,RL,8,1,0,Corner,1.5Fin,COD,Normal,112000
6,2544,2,4,120,RM,1,0,1,Inside,1Story,WD,Normal,149000
5,3288,1,62,50,RM,8,1,0,Inside,1.5Fin,WD,Normal,110000
7,4308,2,19,20,RL,18,1,0,Corner,1Story,WD,Normal,180500
5,4532,1,45,20,RL,10,1,0,CulDSac,1Story,WD,Normal,143900
4,3300,1,48,20,RL,12,0,1,Inside,1Story,WD,Normal,141000
7,5281,2,19,60,RL,13,1,1,Inside,2Story,WD,Normal,277000
6,3276,2,44,20,RL,12,0,0,Inside,1Story,WD,Normal,145000
5,2592,0,83,30,RL,16,1,0,Inside,1Story,WD,Normal,98000
6,3636,2,1,20,RL,16,1,1,Corner,1Story,WD,Normal,186000
7,4604,2,0,60,FV,6,1,1,Inside,2Story,New,Partial,252678
5,2970,2,11,20,RL,1,0,1,CulDSac,1Story,WD,Normal,156000
6,3473,1,33,60,RL,1,1,0,FR2,2Story,WD,Normal,161750
5,3542,1,49,20,RL,12,0,0,Inside,1Story,WD,Normal,134450
7,4308,2,4,20,RL,1,1,1,Inside,1Story,WD,Normal,210000
4,3342,1,81,70,RM,8,1,0,Inside,2Story,WD,Family,107000
7,4706,2,69,50,RL,3,1,0,Corner,1.5Fin,WD,Normal,311500
7,3744,2,1,120,RL,22,0,1,Inside,1Story,New,Partial,167240
7,4494,2,0,20,RL,1,1,1,Inside,1Story,New,Partial,204900
6,5544,2,7,60,RL,18,1,1,Inside,2Story,ConLI,Normal,200000
6,3817,2,31,60,RL,7,1,1,Inside,2Story,WD,Normal,179900
4,2592,2,38,20,RL,12,0,1,FR2,1Story,WD,Abnorml,97000
10,7176,3,6,20,RL,11,1,1,Inside,1Story,WD,Normal,386250
5,3234,1,38,160,RM,23,0,0,Inside,2Story,COD,Abnorml,112000
7,6243,3,12,60,RL,4,1,1,Inside,2Story,WD,Abnorml,290000
6,2457,1,38,160,RM,23,0,0,Inside,2Story,WD,Normal,106000
5,2736,1,43,20,RL,10,0,0,FR2,1Story,WD,Normal,125000
7,4483,2,4,120,RL,22,1,1,Inside,1Story,WD,Normal,192500
6,3582,1,51,20,RL,12,1,0,Inside,1Story,WD,Normal,148000
8,7050,3,14,60,RL,4,1,0,Inside,2Story,WD,Normal,403000
6,2457,1,34,160,RM,23,0,0,Inside,2Story,WD,Normal,94500
5,2682,1,34,20,RL,1,0,1,Corner,1Story,WD,Normal,128200
6,4780,2,8,60,RL,18,1,1,Inside,2Story,WD,Normal,216500
6,2457,1,37,160,RM,23,0,0,Inside,2Story,WD,Normal,89500
7,4242,2,6,20,RL,1,1,1,FR2,1Story,WD,Normal,185500
7,4484,2,17,60,RL,13,1,1,CulDSac,2Story,WD,Normal,194500
8,5082,3,0,20,RL,11,1,1,Inside,1Story,New,Partial,318000
6,3709,1,65,50,RL,16,1,0,Inside,1.5Fin,WD,Normal,113000
8,4698,2,2,20,FV,6,1,1,Inside,1Story,WD,Normal,262500
5,2418,0,62,30,RM,8,1,1,Inside,1Story,WD,Normal,110500
5,3420,1,106,50,RM,8,1,0,Corner,1.5Fin,WD,Normal,79000
6,3060,1,29,160,RL,13,1,0,Corner,2Story,WD,Normal,120000
7,5168,2,16,60,RL,13,1,0,Inside,2Story,WD,Normal,205000
7,5589,2,18,20,RL,7,1,1,Inside,1Story,WD,Normal,241500
6,4876,1,96,190,RM,8,1,0,Inside,2Story,WD,Normal,137000
6,4117,2,52,20,RL,12,1,0,Inside,1Story,WD,Normal,140000
7,4176,2,4,60,RL,1,1,1,Inside,2Story,WD,Normal,180000
6,5732,2,49,50,RL,20,1,0,CulDSac,1.5Fin,WD,Normal,277000
3,3340,0,70,30,RL,9,0,1,Inside,1Story,WD,Normal,76500
8,4823,2,1,120,RM,3,1,1,Inside,1Story,WD,Family,235000
6,4078,2,4,60,RL,13,1,1,Inside,2Story,WD,Normal,173000
6,3906,1,43,80,RL,12,0,1,Inside,SLvl,CWD,Normal,158000
5,3942,1,53,20,RL,12,0,1,Inside,1Story,WD,Normal,145000
7,5557,2,7,60,RL,18,0,1,Inside,2Story,WD,Normal,230000
6,4320,2,5,60,FV,6,1,1,Inside,2Story,WD,Normal,207500
7,4812,2,3,20,RL,1,1,1,Inside,1Story,WD,Abnorml,220000
7,4547,2,7,60,RL,1,1,0,Inside,2Story,WD,Normal,231500
5,1764,1,52,20,RM,8,1,0,Inside,1Story,WD,Normal,97000
6,4126,2,47,80,RL,12,1,0,Corner,SLvl,WD,Normal,176000
8,6630,3,0,60,RL,1,1,0,Inside,2Story,New,Partial,276000
6,2930,2,29,80,RL,10,1,1,Corner,SLvl,WD,Normal,151000
5,3168,2,81,50,RM,8,0,0,Corner,1.5Fin,WD,Normal,130000
5,2208,2,83,30,RM,8,0,0,Inside,1Story,WD,Normal,73000
6,4266,2,27,20,RL,7,0,1,Inside,1Story,WD,Normal,175500
6,3824,2,9,60,RL,18,1,1,FR2,2Story,WD,Normal,185000
5,4684,1,69,75,RL,24,1,1,Inside,2.5Fin,WD,Normal,179500
5,2296,1,68,30,RM,14,1,0,Inside,1Story,WD,Normal,120500
6,3369,1,31,20,RL,16,1,1,Corner,1Story,WD,Normal,148000
8,4973,3,0,60,FV,6,1,1,Inside,2Story,New,Partial,266000
7,4111,2,54,20,RL,20,0,1,CulDSac,1Story,WD,Normal,241500
8,5692,3,11,60,RL,4,1,1,CulDSac,2Story,WD,Normal,290000
6,4504,1,51,20,RL,12,0,1,Inside,1Story,WD,Normal,139000
5,2448,1,25,20,RL,5,0,1,Corner,1Story,WD,Normal,124500
7,4048,2,84,50,RL,9,1,1,Inside,1.5Fin,WD,Normal,205000
7,4680,2,7,20,RL,5,1,1,Inside,1Story,WD,Normal,201000
4,2592,2,59,20,RL,18,0,0,Corner,1Story,WD,Normal,141000
9,6363,3,1,20,RL,11,1,1,Inside,1Story,New,Partial,415298
7,5204,2,31,60,RL,20,1,1,Inside,2Story,WD,Normal,192000
7,4771,2,18,60,RL,13,1,0,Inside,2Story,WD,Normal,228500
6,3786,2,0,20,FV,6,1,0,Inside,1Story,New,Partial,185000
7,3942,2,2,120,RL,11,1,1,Inside,1Story,ConLw,Normal,207500
8,4404,3,1,20,RL,6,1,1,Inside,1Story,New,Partial,244600
6,4725,2,15,120,RL,13,1,0,Inside,1Story,WD,Normal,179200
7,3125,2,1,160,FV,6,1,0,Inside,2Story,New,Partial,164700
6,4380,2,44,50,RL,12,1,0,Inside,1.5Fin,WD,Normal,159000
4,2574,0,35,20,RL,12,0,0,Corner,1Story,WD,Normal,88000
5,2682,1,43,20,RL,10,0,0,Inside,1Story,WD,Normal,122000
6,3490,1,92,70,RL,9,1,0,Inside,2Story,WD,Normal,153575
8,4917,2,0,60,RL,1,1,0,Inside,2Story,New,Partial,233230
5,4212,0,96,190,RL,24,1,0,Inside,2Story,WD,Normal,135900
5,4200,1,60,50,RL,16,1,0,Inside,1.5Fin,WD,Normal,131000
7,5321,2,29,60,RL,7,1,0,Corner,2Story,WD,Normal,235000
6,4704,2,56,20,RL,12,0,1,Inside,1Story,WD,Normal,167000
6,3009,2,22,80,RL,5,0,1,CulDSac,SLvl,WD,Normal,142500
5,4026,1,57,50,RM,14,0,1,Inside,1.5Fin,WD,Normal,152000
7,4875,2,10,60,FV,6,1,0,Inside,2Story,WD,Normal,239000
6,4188,2,39,60,RL,7,0,1,Inside,2Story,WD,Normal,175000
6,3396,1,59,20,RL,3,1,0,Inside,1Story,WD,Family,158500
5,3837,1,53,190,RL,3,0,0,Corner,1Story,WD,Normal,157000
8,5932,2,9,60,RL,1,1,1,Inside,2Story,WD,Normal,267000
7,4623,3,5,20,RL,1,1,1,Corner,1Story,WD,Normal,205000
5,2682,2,34,20,RL,1,0,1,Corner,1Story,WD,Abnorml,149900
7,8456,3,128,75,RM,8,0,1,Inside,2.5Fin,WD,Normal,295000
8,6000,3,3,20,RL,1,0,1,Inside,1Story,WD,Normal,305900
7,5186,3,17,60,RL,13,1,1,Inside,2Story,WD,Normal,225000
6,3131,0,88,50,RM,14,1,0,Inside,1.5Fin,WD,Normal,89500
4,2583,2,69,30,RL,16,0,1,Inside,1Story,WD,Normal,82500
9,5784,3,3,20,RL,11,1,1,Inside,1Story,WD,Normal,360000
6,3699,2,13,60,RL,18,1,1,Inside,2Story,WD,Normal,165600
6,2916,1,61,20,RL,12,0,0,Inside,1Story,WD,Normal,132000
5,3029,2,67,190,RM,8,1,0,Inside,1.5Fin,WD,Normal,119900
7,6208,2,44,20,RL,17,0,0,Inside,1Story,WD,Normal,375000
7,4010,2,81,70,RM,8,1,0,Inside,2Story,WD,Normal,178000
7,3580,2,5,60,RL,18,1,1,Inside,2Story,WD,Normal,188500
7,5551,2,29,60,RL,7,1,1,Corner,2Story,WD,Normal,260000
8,5006,3,1,60,FV,6,1,1,Inside,2Story,WD,Normal,270000
7,6639,3,16,60,RL,4,1,1,Inside,2Story,WD,Normal,260000
7,4316,2,29,80,RL,7,1,1,Inside,SLvl,WD,Normal,187500
9,6441,3,0,60,RL,11,1,1,Corner,2Story,New,Partial,342643
8,6072,3,3,60,RL,11,1,1,Inside,2Story,WD,Normal,354000
7,6962,2,21,60,RL,13,1,1,Inside,2Story,WD,Normal,301000
3,3488,1,51,20,RM,8,1,1,Inside,1Story,WD,Normal,126175
7,6666,2,43,80,RL,12,0,1,Corner,SLvl,WD,Normal,242000
5,2326,2,66,45,RM,14,1,0,Inside,1.5Unf,WD,Normal,87000
8,5157,2,15,120,RL,2,1,1,CulDSac,1Story,Con,Normal,324000
6,4149,1,46,20,RL,12,1,0,Inside,1Story,WD,Normal,145250
6,5112,2,93,75,RL,9,1,0,Inside,2.5Unf,WD,Normal,214500
5,2980,1,89,70,RM,14,1,0,Corner,2Story,WD,Normal,78000
5,5184,1,43,90,RL,12,0,1,Inside,1Story,WD,Normal,119000
5,3168,1,49,20,RL,12,0,0,Inside,1Story,WD,Normal,139000
8,6464,3,6,20,RL,11,0,0,Inside,1Story,WD,Normal,284000
7,4074,2,4,120,RM,11,1,1,FR3,1Story,WD,Normal,207000
6,4219,2,10,60,RL,18,1,1,Inside,2Story,WD,Normal,192000
5,5071,2,43,190,RL,17,0,1,Corner,1.5Fin,WD,Normal,228950
9,5766,3,2,20,RL,19,1,1,Corner,1Story,WD,Normal,377426
7,4608,2,6,20,RL,1,1,1,Inside,1Story,WD,Normal,214000
7,4450,2,22,20,RL,7,1,1,Corner,1Story,WD,Normal,202500
6,3645,1,51,20,RL,12,1,0,Inside,1Story,WD,Normal,155000
8,4783,2,8,60,RL,17,0,1,Inside,2Story,WD,Normal,202900
4,2403,1,59,20,RH,13,1,1,Inside,1Story,WD,Normal,82000
3,2080,2,57,90,RL,12,0,0,Inside,1Story,WD,Normal,87500
9,5052,2,3,120,RL,11,1,1,Inside,1Story,WD,Normal,266000
5,2760,1,34,160,RM,15,0,1,Inside,2Story,WD,Normal,85000
6,4126,1,67,50,RL,9,0,0,Inside,1.5Fin,WD,Normal,140200
6,2874,1,47,20,RL,12,0,0,CulDSac,1Story,WD,Normal,151500
6,4434,2,49,20,RL,12,1,0,Inside,1Story,WD,Normal,157500
7,4016,2,5,160,RL,11,1,0,Inside,2Story,WD,Normal,154000
9,7304,3,1,60,RL,11,0,0,Inside,2Story,New,Partial,437154
9,5607,2,0,120,RL,11,1,1,Inside,1Story,New,Partial,318061
7,4359,2,20,120,RL,20,1,0,Inside,1Story,WD,Abnorml,190000
5,2838,1,67,50,RL,16,0,1,Inside,1.5Fin,ConLw,Normal,95000
6,2064,2,82,30,RM,8,0,1,Inside,1Story,WD,Normal,105900
6,4130,1,66,50,RL,24,1,0,Inside,1.5Fin,WD,Normal,140000
6,3600,2,12,20,RL,1,1,0,Inside,1Story,WD,Normal,177500
6,3492,2,17,20,RL,18,1,1,Inside,1Story,WD,Normal,173000
