Id,OverallQual,PropertyAge,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotalArea,FullBath,HalfBath,TotalBath,TotRmsAbvGrd,BedroomAbvGr,Neighborhood,MSZoning,BldgType,Remodelled,IsNew,IsPartial,SalePrice
34,5,51,1398,1700,0,1700,4798,1,2,3,6,4,NAmes,RL,1Fam,1,0,0,165500
35,9,2,1561,1561,0,1561,4683,3,0,3,6,2,NridgHt,RL,TwnhsE,1,0,0,277500
36,8,2,1117,1132,1320,2452,6021,3,1,4,9,4,NridgHt,RL,1Fam,0,0,0,309000
37,5,15,1097,1097,0,1097,3291,1,1,2,6,3,CollgCr,RL,1Fam,0,0,0,145000
38,5,55,1297,1297,0,1297,3891,1,1,2,5,3,NAmes,RL,1Fam,0,0,0,153000
39,5,57,1057,1057,0,1057,3171,2,0,2,5,3,NAmes,RL,1Fam,0,0,0,109000
40,4,53,0,1152,0,1152,2304,2,0,2,6,2,Edwards,RL,Duplex,1,0,0,82000
41,6,41,1088,1324,0,1324,3736,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,160000
42,5,48,1350,1328,0,1328,4006,1,2,3,5,2,Timber,RL,1Fam,1,0,0,170000
43,5,24,840,884,0,884,2608,2,0,2,5,2,SawyerW,RL,1Fam,1,0,0,144000
44,5,33,938,938,0,938,2814,2,0,2,5,3,CollgCr,RL,1Fam,0,0,0,130250
45,5,47,1150,1150,0,1150,3450,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,141000
46,9,5,1752,1752,0,1752,5256,3,0,3,6,2,NridgHt,RL,TwnhsE,1,0,0,319900
47,7,6,1434,1518,631,2149,5732,2,1,3,6,1,Mitchel,RL,1Fam,1,0,0,239686
48,8,1,1656,1656,0,1656,4968,2,0,2,7,3,Somerst,FV,1Fam,1,0,0,249700
49,4,89,736,736,716,1452,3640,2,0,2,8,2,OldTown,RM,2fmCon,0,0,1,113000
50,5,41,955,955,0,955,2865,2,0,2,6,3,Sawyer,RL,1Fam,1,0,0,127000
51,6,10,794,794,676,1470,3734,2,1,3,6,3,Gilbert,RL,1Fam,1,0,0,177000
52,6,72,816,816,0,1176,2808,1,0,1,6,3,BrkSide,RM,1Fam,0,0,0,114500
53,5,47,816,816,0,816,2448,2,0,2,5,2,IDOTRR,RM,Duplex,1,0,0,110000
54,9,25,1842,1842,0,1842,5526,2,1,3,5,0,Veenker,RL,1Fam,0,0,0,385000
55,5,52,384,1360,0,1360,3104,1,0,1,6,3,NAmes,RL,1Fam,1,0,0,130000
56,6,44,1425,1425,0,1425,4275,2,0,2,7,3,NAmes,RL,1Fam,1,0,0,180500
57,8,10,970,983,756,1739,4448,3,1,4,7,3,Somerst,FV,Twnhs,0,0,0,172500
58,7,2,860,860,860,1720,4300,2,1,3,7,3,CollgCr,RL,1Fam,1,0,0,196500
59,10,0,1410,1426,1519,2945,7300,3,1,4,10,3,StoneBr,RL,1Fam,1,1,1,438780
60,5,36,780,780,0,780,2340,1,0,1,4,2,CollgCr,RL,1Fam,1,0,0,124900
61,6,2,1158,1158,0,1158,3474,2,1,3,5,3,SawyerW,RL,1Fam,1,0,1,158000
62,5,87,530,581,530,1111,2752,1,0,1,6,3,IDOTRR,RM,1Fam,0,0,0,101000
63,8,1,1370,1370,0,1370,4110,2,0,2,6,2,NridgHt,RL,TwnhsE,1,0,0,202500
64,7,89,576,902,808,1710,3996,2,0,2,9,3,OldTown,RM,1Fam,0,0,0,140000
65,7,12,1057,1057,977,2034,5125,3,1,4,8,3,CollgCr,RL,1Fam,0,0,0,219500
66,8,3,1143,1143,1330,2473,6089,2,1,3,9,4,NridgHt,RL,1Fam,0,0,0,317000
67,7,40,1947,2207,0,2207,6361,3,0,3,7,3,NAmes,RL,1Fam,0,0,0,180000
68,7,4,1453,1479,0,1479,4411,3,0,3,7,3,CollgCr,RL,1Fam,1,0,0,226000
69,4,65,747,747,0,747,2241,1,0,1,4,2,OldTown,RM,1Fam,0,0,0,80000
70,7,53,1304,1304,983,2287,5878,2,0,2,7,3,ClearCr,RL,1Fam,1,0,0,225000
71,7,34,2223,2223,0,2223,6669,3,0,3,8,3,NAmes,RL,1Fam,1,0,0,244000
72,4,25,845,845,0,845,2535,2,0,2,4,2,Mitchel,RL,1Fam,0,0,0,129500
73,7,11,832,885,833,1718,4268,2,1,3,7,3,Gilbert,RL,1Fam,1,0,0,185000
74,5,56,1086,1086,0,1086,3258,2,0,2,6,3,NAmes,RL,1Fam,0,0,0,144900
75,3,95,840,840,765,1605,4050,2,0,2,8,3,OldTown,RM,1Fam,0,0,0,107400
76,4,36,462,526,462,988,2438,2,0,2,5,2,MeadowV,RM,Twnhs,1,0,0,91000
77,4,52,952,952,0,952,2856,1,0,1,4,2,NAmes,RL,1Fam,1,0,0,135750
78,5,60,672,1072,213,1285,3242,2,0,2,6,2,BrkSide,RM,1Fam,0,0,0,127000
79,4,42,1768,1768,0,1768,5304,2,0,2,8,4,Sawyer,RL,Duplex,1,0,0,136500
80,5,99,440,682,548,1230,2900,1,1,2,5,2,OldTown,RM,1Fam,0,0,0,110000
81,6,41,896,1182,960,2142,5180,2,1,3,8,4,NAmes,RL,1Fam,1,0,0,193500
82,6,8,1237,1337,0,1337,3911,3,0,3,5,2,Mitchel,RM,TwnhsE,1,0,0,153500
83,8,1,1563,1563,0,1563,4689,2,0,2,6,3,Somerst,RL,1Fam,1,0,0,245000
84,5,47,1065,1065,0,1065,3195,1,1,2,6,3,NAmes,RL,1Fam,1,0,0,126500
85,7,14,384,804,670,1474,3332,2,1,3,7,3,Gilbert,RL,1Fam,0,0,0,168500
86,8,15,1288,1301,1116,2417,6122,2,1,3,9,4,NoRidge,RL,1Fam,0,0,0,260000
87,6,4,684,684,876,1560,3804,2,1,3,6,3,Gilbert,RL,1Fam,1,0,0,174000
88,6,0,612,612,612,1224,3060,2,1,3,4,2,Somerst,FV,TwnhsE,1,1,1,164500
89,3,94,1013,1013,0,1526,3552,1,0,1,6,2,IDOTRR,C (all),1Fam,0,0,0,85000
90,4,13,990,990,0,990,2970,2,0,2,5,3,CollgCr,RL,1Fam,0,0,0,123600
91,4,56,0,1040,0,1040,2080,1,0,1,4,2,NAmes,RL,1Fam,1,0,0,109900
92,5,45,1235,1235,0,1235,3705,1,0,1,6,2,NAmes,RL,1Fam,1,0,0,98600
93,5,88,876,964,0,964,2804,2,0,2,5,2,Crawfor,RL,1Fam,0,0,0,163500
94,6,97,1214,1260,1031,2291,5796,2,1,3,9,4,OldTown,C (all),2fmCon,0,0,0,133900
95,6,10,824,905,881,1786,4396,3,1,4,7,3,CollgCr,RL,1Fam,1,0,0,204750
96,6,16,680,680,790,1470,3620,2,1,3,6,3,Gilbert,RL,1Fam,1,0,0,185000
97,7,7,1588,1588,0,1588,4764,2,0,2,6,3,CollgCr,RL,1Fam,1,0,0,214000
98,4,42,960,960,0,960,2880,2,0,2,6,3,Edwards,RL,1Fam,1,0,0,94750
99,5,90,458,835,0,835,2128,1,0,1,5,2,Edwards,RL,1Fam,0,0,0,83000
100,4,51,950,1225,0,1225,3400,2,1,3,6,3,NAmes,RL,1Fam,1,0,0,128950
101,6,33,1610,1610,0,1610,4830,3,0,3,6,3,NWAmes,RL,1Fam,0,0,0,205000
102,6,25,741,977,755,1732,4205,2,1,3,7,3,SawyerW,RL,1Fam,1,0,0,178000
103,5,30,0,1535,0,1535,3070,2,0,2,8,4,SawyerW,RL,Duplex,1,0,0,118964
104,7,1,1226,1226,0,1226,3678,2,0,2,6,3,CollgCr,RL,1Fam,1,0,0,198900
105,7,76,1040,1226,592,1818,4676,1,1,2,7,4,IDOTRR,RM,1Fam,0,0,0,169500
106,8,5,1053,1053,939,1992,5037,2,1,3,9,3,Somerst,FV,1Fam,0,0,0,250000
107,4,122,641,1047,0,1047,2735,1,0,1,6,2,OldTown,RM,1Fam,0,0,0,100000
108,5,60,789,789,0,789,2367,1,0,1,5,2,OldTown,RM,1Fam,0,0,1,115000
109,5,88,793,997,520,1517,3827,2,0,2,7,3,IDOTRR,RM,1Fam,0,0,0,115000
110,6,33,1844,1844,0,1844,5532,2,0,2,7,3,NWAmes,RL,1Fam,1,0,0,190000
111,6,52,994,1216,639,1855,4704,2,0,2,7,4,Edwards,RL,1Fam,0,0,0,136900
112,7,10,384,774,656,1430,3244,2,1,3,7,3,Gilbert,RL,1Fam,1,0,0,180000
113,7,0,1264,1282,1414,2696,6656,3,1,4,10,4,CollgCr,RL,1Fam,1,1,1,383970
114,6,54,1809,2259,0,2259,6327,3,0,3,7,3,Crawfor,RL,1Fam,1,0,0,217000
115,6,62,1028,1436,884,2320,5668,3,1,4,9,3,Crawfor,RL,1Fam,0,0,0,259500
116,6,8,729,729,729,1458,3645,2,1,3,5,2,Somerst,FV,TwnhsE,1,0,0,176000
117,5,47,1092,1092,0,1092,3276,1,1,2,6,3,Sawyer,RL,1Fam,1,0,0,139000
118,5,1,1125,1125,0,1125,3375,1,1,2,5,2,Edwards,RL,1Fam,0,0,1,155000
119,7,20,1673,1699,1523,3222,8117,4,0,4,11,5,SawyerW,RL,1Fam,1,0,0,320000
120,6,1,728,728,728,1456,3640,2,1,3,8,3,CollgCr,RL,1Fam,0,0,1,163990
121,6,37,938,988,0,988,2914,2,0,2,4,1,ClearCr,RL,1Fam,1,0,0,180000
122,4,68,732,772,351,1123,2978,1,0,1,4,3,IDOTRR,RM,1Fam,0,0,0,100000
123,6,50,1080,1080,0,1080,3240,1,0,1,5,3,NAmes,RL,1Fam,1,0,0,136000
124,6,15,1199,1199,0,1199,3597,2,0,2,5,2,SawyerW,RL,TwnhsE,1,0,0,153900
125,6,30,1362,1586,0,1586,4534,2,0,2,7,3,NWAmes,RL,1Fam,0,0,0,181000
126,6,71,520,520,0,754,1794,2,0,2,5,2,IDOTRR,RM,2fmCon,0,0,0,84500
127,6,31,1078,958,0,958,2994,2,0,2,5,2,NPkVill,RL,TwnhsE,1,0,0,128000
128,5,77,672,840,0,840,2352,1,0,1,5,3,OldTown,RM,1Fam,0,0,0,87000
129,6,40,660,660,688,1348,3356,1,1,2,6,3,NAmes,RL,1Fam,1,0,0,155000
130,5,48,1008,1053,0,1053,3114,1,2,3,6,3,NAmes,RL,1Fam,0,0,0,150000
131,7,40,924,1216,941,2157,5238,2,1,3,8,4,NAmes,RL,1Fam,1,0,0,226000
132,6,9,992,1022,1032,2054,5100,3,1,4,7,3,Gilbert,RL,1Fam,1,0,0,244000
133,5,48,1063,1327,0,1327,3717,2,0,2,7,3,NAmes,RL,1Fam,0,0,0,150750
134,8,8,1267,1296,0,1296,3859,3,0,3,6,2,Timber,RL,1Fam,0,0,0,220000
135,5,38,1461,1721,0,1721,4903,2,1,3,7,3,Sawyer,RL,1Fam,0,0,0,180000
136,7,38,1304,1682,0,1682,4668,2,0,2,7,3,NWAmes,RL,1Fam,1,0,0,174000
137,5,40,1214,1214,0,1214,3642,2,0,2,5,3,NAmes,RL,1Fam,1,0,0,143000
138,7,18,1907,1959,0,1959,5825,3,0,3,9,5,Mitchel,RL,Duplex,0,0,0,171000
139,8,9,1004,1004,848,1852,4708,2,1,3,7,3,CollgCr,RL,1Fam,0,0,0,230000
140,6,12,928,928,836,1764,4456,3,1,4,7,3,CollgCr,RL,1Fam,1,0,0,231500
141,4,39,864,864,0,864,2592,1,0,1,5,3,NAmes,RL,1Fam,1,0,0,115000
142,7,1,1734,1734,0,1734,5202,3,0,3,7,3,CollgCr,RL,1Fam,1,0,0,260000
143,5,58,910,910,475,1385,3680,2,0,2,6,4,NAmes,RL,1Fam,1,0,0,166000
144,7,10,1490,1501,0,1501,4492,3,0,3,6,3,CollgCr,RL,1Fam,1,0,0,204000
145,5,43,1728,1728,0,1728,5184,3,0,3,10,6,Sawyer,RM,Duplex,1,0,0,125000
146,6,2,970,970,739,1709,4388,2,0,2,7,3,Edwards,RM,Twnhs,0,0,0,130000
147,5,78,715,875,0,875,2465,2,0,2,5,2,BrkSide,RM,1Fam,0,0,0,105000
148,7,9,884,884,1151,2035,4954,2,1,3,8,3,Gilbert,RL,1Fam,1,0,0,222500
149,7,4,1080,1080,0,1080,3240,2,0,2,6,3,SawyerW,RL,1Fam,0,0,0,141000
150,5,70,896,896,448,1344,3584,1,0,1,7,3,BrkSide,RM,1Fam,0,0,0,115000
151,5,32,969,969,0,969,2907,1,1,2,5,3,CollgCr,RL,1Fam,1,0,0,122000
152,8,1,1710,1710,0,1710,5130,3,0,3,6,2,NridgHt,RL,1Fam,0,0,1,372402
153,6,35,825,1097,896,1993,4811,2,1,3,8,4,NWAmes,RL,1Fam,1,0,0,190000
154,6,48,1602,1252,0,1252,4106,2,0,2,4,1,ClearCr,RL,1Fam,0,0,0,235000
155,6,83,1200,1200,0,1200,3600,1,0,1,7,4,OldTown,RM,1Fam,0,0,0,125000
156,6,84,572,572,524,1096,2764,1,0,1,5,2,Edwards,RL,1Fam,0,0,0,79000
157,5,56,0,1040,0,1040,2080,1,0,1,5,2,NAmes,RL,1Fam,1,0,0,109500
158,8,1,774,774,1194,1968,4710,2,1,3,8,4,Timber,RL,1Fam,0,0,1,269500
159,7,6,991,991,956,1947,4885,2,1,3,8,3,Somerst,FV,1Fam,0,0,0,254900
160,7,1,1392,1392,1070,2462,6316,3,1,4,9,4,Gilbert,RL,1Fam,0,0,1,320000
161,6,24,1232,1232,0,1232,3696,2,0,2,6,3,Veenker,RL,1Fam,1,0,0,162500
162,9,5,1572,1572,1096,2668,6908,3,1,4,10,3,NridgHt,RL,1Fam,0,0,0,412500
163,7,5,1541,1541,0,1541,4623,2,0,2,7,3,NridgHt,RL,1Fam,1,0,1,220000
164,4,51,882,882,0,882,2646,1,0,1,4,1,OldTown,RL,1Fam,1,0,0,103200
165,6,81,1149,1149,467,1616,4381,2,0,2,5,3,OldTown,RM,1Fam,0,0,0,152000
166,5,68,644,808,547,1355,3354,3,0,3,6,4,Edwards,RL,2fmCon,0,0,0,127500
167,5,54,1617,1867,0,1867,5351,2,0,2,7,2,ClearCr,RL,1Fam,0,0,0,190000
168,8,0,1582,1610,551,2161,5904,2,1,3,8,3,NridgHt,RL,1Fam,1,1,1,325624
169,7,3,840,840,880,1720,4280,2,1,3,7,3,Gilbert,RL,1Fam,1,0,0,183500
170,8,25,1686,1707,0,1707,5100,2,1,3,6,2,Timber,RL,1Fam,1,0,0,228000
171,5,66,720,854,0,1382,2956,1,1,2,7,2,OldTown,RM,1Fam,0,0,0,128500
172,6,50,1080,1656,0,1656,4392,2,0,2,7,3,NAmes,RL,1Fam,1,0,0,215000
173,7,19,1064,1064,703,1767,4598,3,0,3,5,2,StoneBr,RL,TwnhsE,1,0,0,239000
174,6,47,1362,1362,0,1362,4086,2,1,3,6,3,NAmes,RL,1Fam,1,0,0,163000
175,6,22,1606,1651,0,1651,4908,3,0,3,7,3,Timber,RL,1Fam,1,0,0,184000
176,6,57,1202,2158,0,2158,5518,3,0,3,7,4,Edwards,RL,1Fam,0,0,0,243000
177,6,19,1151,1164,896,2060,5271,2,2,4,8,4,ClearCr,RL,1Fam,0,0,0,211000
178,5,48,1052,1252,668,1920,4892,3,0,3,8,4,Sawyer,RL,1Fam,1,0,0,172500
179,9,1,2216,2234,0,2234,6684,3,0,3,9,1,StoneBr,RL,1Fam,0,0,1,501837
180,5,84,968,968,0,968,2904,1,0,1,5,2,OldTown,RM,1Fam,0,0,0,100000
181,6,7,756,769,756,1525,3806,2,1,3,5,3,Somerst,FV,Twnhs,1,0,0,177000
182,7,86,793,901,901,1802,4397,1,1,2,9,4,Crawfor,RL,1Fam,0,0,0,200100
183,5,50,0,1340,0,1340,2680,1,0,1,7,3,Edwards,RL,1Fam,0,0,0,120000
184,7,5,1362,1362,720,2082,5526,2,1,3,6,3,OldTown,RM,1Fam,1,0,0,200000
185,5,98,504,936,316,1252,3008,1,0,1,5,3,BrkSide,RL,1Fam,0,0,0,127000
186,10,114,1107,1518,1518,3608,7751,2,1,3,12,4,OldTown,RM,1Fam,0,0,0,475000
187,7,19,1188,1217,0,1217,3622,3,0,3,6,3,Mitchel,RL,1Fam,0,0,0,173000
188,5,93,660,808,704,1656,3828,2,1,3,8,3,OldTown,RL,1Fam,0,0,0,135000
189,5,30,1086,1224,0,1224,3534,2,2,4,6,2,SawyerW,RL,Duplex,1,0,0,153337
190,8,7,1593,1593,0,1593,4779,2,1,3,5,0,StoneBr,RL,TwnhsE,0,0,0,286000
191,8,75,853,1549,1178,2727,6307,2,1,3,10,3,Crawfor,RL,1Fam,0,0,0,315000
192,7,35,725,725,754,1479,3683,2,1,3,7,4,NAmes,RL,1Fam,0,0,0,184000
193,7,10,1431,1431,0,1431,4293,3,0,3,6,3,CollgCr,RL,1Fam,1,0,0,192000
194,7,2,970,970,739,1709,4388,2,0,2,7,3,Edwards,RM,Twnhs,1,0,0,130000
195,5,36,864,864,0,864,2592,1,0,1,5,3,CollgCr,RL,1Fam,1,0,0,127000
196,6,33,855,855,601,1456,3767,2,1,3,7,3,NPkVill,RL,Twnhs,1,0,0,148500
197,7,0,1726,1726,0,1726,5178,3,0,3,8,3,Somerst,RL,1Fam,1,1,1,311872
198,8,88,1360,1360,1360,3112,7192,3,1,4,8,4,NAmes,RL,1Fam,0,0,0,235000
199,6,97,755,929,929,2229,4842,1,0,1,8,5,OldTown,RM,1Fam,0,0,0,104000
200,8,5,1713,1713,0,1713,5139,3,0,3,7,3,NridgHt,RL,1Fam,0,0,0,274900
201,4,7,1121,1121,0,1121,3363,2,0,2,5,2,Edwards,RM,1Fam,0,0,0,140000
202,6,31,1196,1279,0,1279,3754,2,1,3,6,3,Mitchel,RL,1Fam,1,0,0,171500
203,6,82,617,865,445,1310,3237,2,0,2,6,2,OldTown,RL,1Fam,0,0,0,112000
204,6,4,848,848,0,848,2544,2,0,2,3,1,CollgCr,RM,TwnhsE,1,0,0,149000
205,5,62,720,720,564,1284,3288,1,1,2,5,2,OldTown,RM,1Fam,0,0,0,110000
206,7,19,1424,1442,0,1442,4308,2,0,2,5,3,Gilbert,RL,1Fam,1,0,0,180500
207,5,45,1140,1696,0,1696,4532,1,1,2,8,3,Sawyer,RL,1Fam,1,0,0,143900
208,4,48,1100,1100,0,1100,3300,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,141000
209,7,19,1157,1180,882,2062,5281,3,1,4,7,3,SawyerW,RL,1Fam,0,0,0,277000
210,6,44,1092,1092,0,1092,3276,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,145000
211,5,83,864,864,0,864,2592,2,0,2,5,2,Edwards,RL,1Fam,0,0,0,98000
212,6,1,1212,1212,0,1212,3636,2,0,2,6,3,Edwards,RL,1Fam,1,0,0,186000
213,7,0,900,932,920,1852,4604,3,1,4,7,3,Somerst,FV,1Fam,1,1,1,252678
214,5,11,990,990,0,990,2970,1,1,2,5,3,CollgCr,RL,1Fam,1,0,0,156000
215,6,33,689,689,703,1392,3473,1,1,2,6,3,CollgCr,RL,1Fam,1,0,0,161750
216,5,49,1070,1236,0,1236,3542,1,1,2,6,2,NAmes,RL,1Fam,0,0,0,134450
217,7,4,1436,1436,0,1436,4308,3,0,3,8,3,CollgCr,RL,1Fam,1,0,0,210000
218,4,81,686,810,518,1328,3342,1,0,1,8,3,OldTown,RM,1Fam,0,0,0,107000
219,7,69,798,1137,817,1954,4706,1,2,3,8,3,Crawfor,RL,1Fam,0,0,0,311500
220,7,1,1248,1248,0,1248,3744,2,0,2,5,2,Blmngtn,RL,TwnhsE,0,0,1,167240
221,7,0,1498,1498,0,1498,4494,2,0,2,5,2,CollgCr,RL,1Fam,1,1,1,204900
222,6,7,1010,1010,1257,2267,5544,2,1,3,8,4,Gilbert,RL,1Fam,1,0,0,200000
223,6,31,713,811,741,1552,3817,3,1,4,6,3,NWAmes,RL,1Fam,1,0,0,179900
224,4,38,864,864,0,864,2592,1,0,1,4,2,NAmes,RL,1Fam,1,0,0,97000
225,10,6,2392,2392,0,2392,7176,2,0,2,8,3,NridgHt,RL,1Fam,1,0,0,386250
226,5,38,630,630,672,1302,3234,2,1,3,6,3,BrDale,RM,Twnhs,1,0,0,112000
227,7,12,1203,1214,1306,2520,6243,2,1,3,9,4,NoRidge,RL,1Fam,1,0,0,290000
228,6,38,483,483,504,987,2457,1,1,2,5,2,BrDale,RM,Twnhs,1,0,0,106000
229,5,43,912,912,0,912,2736,1,0,1,5,3,Sawyer,RL,1Fam,1,0,0,125000
230,7,4,1373,1555,0,1555,4483,2,0,2,7,2,Blmngtn,RL,TwnhsE,0,0,0,192500
231,6,51,1194,1194,0,1194,3582,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,148000
232,8,14,1462,1490,1304,2794,7050,3,1,4,9,4,NoRidge,RL,1Fam,0,0,0,403000
233,6,34,483,483,504,987,2457,1,1,2,5,2,BrDale,RM,Twnhs,1,0,0,94500
234,5,34,894,894,0,894,2682,2,0,2,5,3,CollgCr,RL,1Fam,1,0,0,128200
235,6,8,860,860,1100,1960,4780,3,1,4,8,4,Gilbert,RL,1Fam,1,0,0,216500
236,6,37,483,483,504,987,2457,1,1,2,5,2,BrDale,RM,TwnhsE,1,0,0,89500
237,7,6,1414,1414,0,1414,4242,2,0,2,6,3,CollgCr,RL,1Fam,1,0,0,185500
238,7,17,996,1014,730,1744,4484,2,1,3,7,3,SawyerW,RL,1Fam,0,0,0,194500
239,8,0,1694,1694,0,1694,5082,2,0,2,7,3,NridgHt,RL,1Fam,1,1,1,318000
240,6,65,735,798,689,1487,3709,1,1,2,7,3,Edwards,RL,1Fam,0,0,0,113000
241,8,2,1566,1566,0,1566,4698,3,0,3,7,3,Somerst,FV,1Fam,1,0,0,262500
242,5,62,686,866,0,866,2418,1,0,1,4,2,OldTown,RM,1Fam,0,0,0,110500
243,5,106,540,889,551,1440,3420,1,0,1,6,3,OldTown,RM,1Fam,0,0,0,79000
244,6,29,626,626,591,1217,3060,1,1,2,6,3,SawyerW,RL,TwnhsE,1,0,0,120000
245,7,16,948,1222,888,2110,5168,3,1,4,8,3,SawyerW,RL,1Fam,0,0,0,205000
246,7,18,1845,1872,0,1872,5589,2,1,3,6,3,NWAmes,RL,1Fam,1,0,0,241500
247,6,96,1020,908,1020,1928,4876,2,0,2,9,4,OldTown,RM,2fmCon,0,0,0,137000
248,6,52,1367,1375,0,1375,4117,1,0,1,5,2,NAmes,RL,1Fam,1,0,0,140000
249,7,4,840,840,828,1668,4176,2,1,3,8,3,CollgCr,RL,1Fam,1,0,0,180000
250,6,49,1444,1444,700,2144,5732,2,1,3,7,4,ClearCr,RL,1Fam,0,0,0,277000
251,3,70,728,1306,0,1306,3340,1,0,1,6,3,BrkSide,RL,1Fam,0,0,0,76500
252,8,1,1573,1625,0,1625,4823,3,1,4,5,2,Crawfor,RM,TwnhsE,0,0,0,235000
253,6,4,798,798,842,1640,4078,2,1,3,6,3,SawyerW,RL,1Fam,1,0,0,173000
254,6,43,1302,1302,0,1302,3906,2,1,3,7,3,NAmes,RL,1Fam,0,0,0,158000
255,5,53,1314,1314,0,1314,3942,2,0,2,5,3,NAmes,RL,1Fam,1,0,0,145000
256,7,7,975,1005,1286,2291,5557,2,1,3,8,4,Gilbert,RL,1Fam,1,0,0,230000
257,6,5,864,864,864,1728,4320,2,1,3,7,3,Somerst,FV,1Fam,1,0,0,207500
258,7,3,1604,1604,0,1604,4812,3,1,4,8,3,CollgCr,RL,1Fam,1,0,0,220000
259,7,7,963,963,829,1792,4547,2,1,3,7,3,CollgCr,RL,1Fam,1,0,0,231500
260,5,52,0,882,0,882,1764,1,0,1,4,2,OldTown,RM,1Fam,1,0,0,97000
261,6,47,1362,1382,0,1382,4126,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,176000
262,8,0,1482,1482,1092,2574,6630,2,1,3,10,3,CollgCr,RL,1Fam,1,1,1,276000
263,6,29,506,1212,0,1212,2930,2,0,2,6,3,Sawyer,RL,1Fam,0,0,0,151000
264,5,81,926,926,0,1316,3168,2,0,2,6,3,OldTown,RM,1Fam,0,0,0,130000
