OverallQual,TotalArea,GarageCars,PropertyAge,MSSubClass,MSZoning,Neighborhood,HasPorch,HasDeck,LotConfig,HouseStyle,SaleType,SaleCondition,SalePrice,TotalArea_scaled,PropertyAge_scaled,OverallQual_scaled,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_High,Neighborhood_Low,Neighborhood_Mid,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_Normal,SaleCondition_Partial
6,3759,1,48,20,RL,Low,1,0,Corner,1Story,WD,Normal,157000,0.3312258894127732,0.3529411764705882,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,2540,2,78,45,RM,Low,1,1,Corner,1.5Unf,WD,Normal,132000,0.20060008572653232,0.5735294117647058,0.6666666666666665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,3012,2,40,20,RL,Low,0,0,CulDSac,1Story,WD,Normal,149000,0.25117873981997424,0.29411764705882354,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,2592,2,39,90,RL,Low,0,0,Inside,1Story,WD,Normal,90000,0.20617231033004713,0.2867647058823529,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3342,2,4,20,RL,Mid,1,0,Inside,1Story,WD,Normal,159000,0.2865409344192027,0.029411764705882353,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3707,1,51,20,RL,Low,0,0,Inside,1Story,COD,Abnorml,139000,0.32565366480925845,0.375,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,5910,3,1,60,RL,High,1,1,Corner,2Story,New,Partial,325300,0.5617231033004715,0.007352941176470588,0.7777777777777777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,2853,1,77,45,RM,Low,1,0,Inside,1.5Unf,WD,Normal,139400,0.23414059151307326,0.5661764705882353,0.6666666666666665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,5367,2,6,20,RL,Mid,1,1,Inside,1Story,WD,Normal,230000,0.5035362194599229,0.044117647058823525,0.7777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3160,2,31,120,RM,Low,1,1,Inside,1Story,WD,Normal,129900,0.267038148306901,0.22794117647058823,0.4444444444444445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3180,1,42,20,RL,Low,1,1,Inside,1Story,WD,Normal,154000,0.2691813116159451,0.3088235294117647,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,4766,3,2,20,RL,High,1,0,Corner,1Story,WD,Normal,256300,0.4391341620231461,0.014705882352941176,0.7777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,2700,2,59,20,RL,Low,1,1,Corner,1Story,WD,Normal,134800,0.21774539219888556,0.4338235294117647,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,5112,3,3,20,RL,High,1,0,Inside,1Story,WD,Normal,306000,0.47621088726960986,0.022058823529411763,0.7777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,4684,1,49,20,RL,Low,1,1,CulDSac,1Story,WD,Normal,207500,0.4303471924560652,0.3602941176470588,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,1560,1,81,30,RM,Low,1,1,Inside,1Story,WD,Normal,68500,0.09558508358336905,0.5955882352941176,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,3283,1,88,70,C (all),Low,1,0,Inside,2Story,WD,Normal,40000,0.28021860265752246,0.6470588235294118,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3684,1,42,20,RL,Low,1,0,CulDSac,1Story,WD,Normal,149350,0.32318902700385765,0.3088235294117647,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,3702,2,1,20,RL,Mid,1,0,Corner,1Story,WD,Normal,179900,0.3251178739819974,0.007352941176470588,0.7777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,4798,2,51,20,RL,Low,1,0,Inside,1Story,WD,Normal,165500,0.4425632233176168,0.375,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,4683,2,2,120,RL,High,1,1,Inside,1Story,WD,Normal,277500,0.4302400342906129,0.014705882352941176,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,6021,3,2,60,RL,High,1,1,Inside,2Story,WD,Normal,309000,0.5736176596656666,0.014705882352941176,0.7777777777777777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3291,2,15,20,RL,Mid,1,1,Corner,1Story,WD,Normal,145000,0.28107586798114015,0.11029411764705882,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3891,2,55,20,RL,Low,0,0,Inside,1Story,WD,Normal,153000,0.3453707672524646,0.40441176470588236,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3171,1,57,20,RL,Low,1,0,Inside,1Story,WD,Abnorml,109000,0.2682168881268752,0.41911764705882354,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,2304,0,53,90,RL,Low,0,0,Inside,1Story,WD,Abnorml,82000,0.17531075867981138,0.3897058823529412,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,3736,2,41,20,RL,Low,1,0,Inside,1Story,WD,Abnorml,160000,0.32876125160737246,0.3014705882352941,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,4006,1,48,20,RL,High,1,0,Inside,1Story,WD,Normal,170000,0.3576939562794685,0.3529411764705882,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,2608,2,24,85,RL,Mid,0,1,CulDSac,SFoyer,WD,Normal,144000,0.20788684097728244,0.1764705882352941,0.4444444444444445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5,2814,1,33,20,RL,Mid,0,1,CulDSac,1Story,WD,Normal,130250,0.22996142306043715,0.2426470588235294,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3450,1,47,20,RL,Low,0,0,Inside,1Story,WD,Normal,141000,0.29811401628804113,0.34558823529411764,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,5256,2,5,120,RL,High,1,1,Inside,1Story,WD,Normal,319900,0.49164166309472773,0.03676470588235294,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,5732,2,6,50,RL,Mid,1,1,CulDSac,1.5Fin,WD,Abnorml,239686,0.5426489498499786,0.044117647058823525,0.6666666666666665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,4968,3,1,20,FV,Mid,1,0,Inside,1Story,WD,Normal,249700,0.460780111444492,0.007352941176470588,0.7777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,3640,0,89,190,RM,Low,1,0,Inside,2Story,New,Partial,113000,0.31847406772396053,0.6544117647058824,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,2865,1,41,20,RL,Low,0,0,Inside,1Story,WD,Normal,127000,0.23542648949849976,0.3014705882352941,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,3734,2,10,60,RL,Mid,1,0,Corner,2Story,WD,Normal,177000,0.32854693527646806,0.07352941176470588,0.5555555555555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,2808,2,72,50,RM,Low,0,1,Inside,1.5Fin,WD,Normal,114500,0.22931847406772393,0.5294117647058824,0.5555555555555556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,2448,2,47,90,RM,Low,0,1,Corner,1Story,WD,Normal,110000,0.19074153450492926,0.34558823529411764,0.4444444444444445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,5526,3,25,20,RL,Mid,1,1,Inside,1Story,WD,Normal,385000,0.5205743677668239,0.1838235294117647,0.8888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3104,2,52,80,RL,Low,1,0,Inside,SLvl,WD,Normal,130000,0.26103729104157736,0.38235294117647056,0.4444444444444445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6,4275,2,44,20,RL,Low,1,0,Inside,1Story,WD,Normal,180500,0.38651950278611225,0.3235294117647059,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,4448,2,10,160,FV,Mid,0,1,Inside,2Story,WD,Abnorml,172500,0.4050578654093442,0.07352941176470588,0.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,4300,2,2,60,RL,Mid,1,0,Corner,2Story,WD,Normal,196500,0.38919845692241745,0.014705882352941176,0.6666666666666665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,7300,3,0,60,RL,High,1,1,CulDSac,2Story,New,Partial,438780,0.7106729532790399,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,2340,1,36,20,RL,Mid,0,1,Inside,1Story,WD,Normal,124900,0.17916845263609082,0.2647058823529412,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,3474,2,2,20,RL,Mid,1,0,Inside,1Story,New,Partial,158000,0.3006858122588941,0.014705882352941176,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,2752,1,87,75,RM,Low,1,0,Inside,2.5Unf,WD,Normal,101000,0.2233176168024003,0.6397058823529411,0.4444444444444445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,4110,2,1,120,RL,High,1,1,Inside,1Story,WD,Normal,202500,0.36883840548649804,0.007352941176470588,0.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,3996,2,89,70,RM,Low,1,1,Inside,2Story,WD,Normal,140000,0.3566223746249464,0.6544117647058824,0.6666666666666665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,5125,2,12,60,RL,Mid,1,1,Inside,2Story,WD,Normal,219500,0.47760394342048856,0.08823529411764705,0.6666666666666665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,6089,3,3,60,RL,High,1,1,Inside,2Story,WD,Normal,317000,0.5809044149164166,0.022058823529411763,0.7777777777777777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,6361,2,40,20,RL,Low,0,1,Inside,1Story,WD,Normal,180000,0.6100514359194171,0.29411764705882354,0.6666666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,4411,2,4,20,RL,Mid,1,1,Inside,1Story,WD,Normal,226000,0.4010930132876125,0.029411764705882353,0.6666666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,2241,1,65,30,RM,Low,0,0,Corner,1Story,WD,Normal,80000,0.16855979425632234,0.4779411764705882,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,5878,2,53,50,RL,Mid,1,0,Corner,1.5Fin,WD,Normal,225000,0.5582940420060009,0.3897058823529412,0.6666666666666665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,6669,2,34,20,RL,Low,0,1,Inside,1Story,WD,Normal,244000,0.6430561508786969,0.25,0.6666666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,2535,2,25,20,RL,Mid,0,0,Corner,1Story,WD,Normal,129500,0.2000642948992713,0.1838235294117647,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,4268,2,11,60,RL,Mid,1,0,Corner,2Story,WD,Normal,185000,0.3857693956279468,0.08088235294117647,0.6666666666666665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3258,2,56,20,RL,Low,0,0,Inside,1Story,WD,Normal,144900,0.27753964852121726,0.4117647058823529,0.4444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,4050,1,95,50,RM,Low,1,0,Corner,2Story,WD,Normal,107400,0.3624089155593656,0.6985294117647058,0.2222222222222222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,2438,1,36,180,RM,Low,1,1,Inside,SLvl,WD,Normal,91000,0.18966995285040716,0.2647058823529412,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4,2856,1,52,20,RL,Low,0,0,Inside,1Story,WD,Normal,135750,0.23446206600942987,0.38235294117647056,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3242,1,60,50,RM,Low,0,0,Inside,1.5Fin,WD,Normal,127000,0.27582511787398195,0.4411764705882353,0.4444444444444445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
