Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceBand,HasPorch,Remodelled,PropertyAge,TotalBath,HasPool,HasDeck,TotalArea,IsNew,IsPartial
11,20,RL,70.0,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Rec,906,0,134,1040,5,Y,1040,0,1040,2,0,3,3,5,0,None,1,2,3,WD,Normal,129500,2,0,1,43,2,0,0,3120,0,0
12,60,RL,85.0,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,Hip,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,No,GLQ,998,0,177,1175,5,Y,1182,1142,2324,4,0,4,5,11,2,4,3,7,1,New,Partial,345000,9,1,0,1,4,0,1,5823,0,1
13,20,RL,MasVnrArea,12968,IR2,Inside,Sawyer,1Fam,1Story,5,6,Hip,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,No,ALQ,737,0,175,912,3,Y,912,0,912,2,0,2,3,4,0,None,1,9,3,WD,Normal,144000,3,0,1,46,2,0,1,2736,0,0
14,20,RL,91.0,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,Av,Unf,0,0,1494,1494,5,Y,1494,0,1494,2,0,3,4,7,1,4,3,8,2,New,Partial,279500,9,1,0,1,2,0,1,4482,0,1
15,20,RL,MasVnrArea,10920,IR1,Corner,NAmes,1Fam,1Story,6,5,Hip,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,No,BLQ,733,0,520,1253,3,Y,1253,0,1253,2,1,2,3,5,1,2,1,5,3,WD,Normal,157000,4,1,1,48,3,0,0,3759,0,0
16,45,RM,51.0,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,832,832,5,Y,854,0,854,1,0,2,3,5,0,None,2,7,2,WD,Normal,132000,2,1,0,78,1,0,1,2540,0,0
17,20,RL,MasVnrArea,11241,IR1,CulDSac,NAmes,1Fam,1Story,6,7,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,ALQ,578,0,426,1004,5,Y,1004,0,1004,2,0,2,3,5,1,3,2,3,5,WD,Normal,149000,4,0,1,40,2,0,0,3012,0,0
18,90,RL,72.0,10791,Reg,Inside,Sawyer,Duplex,1Story,4,5,Gable,MetalSd,MetalSd,None,0.0,3,3,Slab,None,None,None,None,0,0,0,0,3,Y,1296,0,1296,2,0,2,3,6,0,None,2,10,1,WD,Normal,90000,0,0,1,39,2,0,0,2592,0,0
19,20,RL,66.0,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,GLQ,646,0,468,1114,5,Y,1114,0,1114,2,1,3,4,6,0,None,2,6,3,WD,Normal,159000,4,1,1,4,3,0,0,3342,0,0
20,20,RL,70.0,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,Hip,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,No,LwQ,504,0,525,1029,3,Y,1339,0,1339,1,0,3,3,6,0,None,1,5,4,COD,Abnorml,139000,3,0,0,51,1,0,0,3707,0,0
21,60,RL,101.0,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,Av,Unf,0,0,1158,1158,5,Y,1158,1218,2376,3,1,4,4,9,1,4,3,11,1,New,Partial,325300,9,1,0,1,4,0,1,5910,0,1
22,45,RM,57.0,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,0,637,637,5,Y,1108,0,1108,1,0,3,4,6,1,4,1,6,2,WD,Normal,139400,3,0,0,77,1,0,0,2853,0,0
23,20,RL,75.0,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,Hip,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,No,Unf,0,0,1777,1777,5,Y,1795,0,1795,2,0,3,4,7,1,4,2,9,3,WD,Normal,230000,7,1,1,6,2,0,1,5367,0,0
24,120,RM,44.0,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,Gable,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,No,GLQ,840,0,200,1040,3,Y,1060,0,1060,2,0,3,3,6,1,3,2,6,2,WD,Normal,129900,2,1,1,31,2,0,1,3160,0,0
25,20,RL,MasVnrArea,8246,IR1,Inside,Sawyer,1Fam,1Story,5,8,Gable,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,Mn,Rec,188,668,204,1060,5,Y,1060,0,1060,2,0,3,4,6,1,3,1,5,5,WD,Normal,154000,4,1,0,42,2,0,1,3180,0,0
26,20,RL,110.0,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,No,Unf,0,0,1566,1566,5,Y,1600,0,1600,2,0,3,4,7,1,4,3,7,4,WD,Normal,256300,8,1,1,2,2,0,0,4766,0,0
27,20,RL,60.0,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,BLQ,234,486,180,900,3,Y,900,0,900,1,1,3,4,5,0,None,2,5,5,WD,Normal,134800,2,1,0,59,2,0,1,2700,0,0
28,20,RL,98.0,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,No,GLQ,1218,0,486,1704,5,Y,1704,0,1704,3,0,3,4,7,1,4,3,5,5,WD,Normal,306000,9,1,0,3,3,0,0,5112,0,0
29,20,RL,47.0,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,Gd,BLQ,1277,0,207,1484,3,Y,1600,0,1600,2,0,2,3,6,2,4,1,12,1,WD,Normal,207500,7,1,0,49,2,0,1,4684,0,0
30,30,RM,60.0,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,520,520,2,N,520,0,520,1,0,1,2,4,0,None,1,5,3,WD,Normal,68500,0,0,0,81,1,0,1,1560,0,0
31,70,C (all),50.0,8500,Reg,Inside,IDOTRR,1Fam,2Story,4,4,Gambrel,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,No,Unf,0,0,649,649,3,N,649,668,1317,1,0,3,3,6,0,None,1,7,3,WD,Normal,40000,0,1,0,88,1,0,0,3283,0,0
32,20,RL,MasVnrArea,8544,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Unf,0,0,1228,1228,4,Y,1228,0,1228,1,1,3,4,6,0,None,1,6,3,WD,Normal,149350,4,1,0,42,2,0,0,3684,0,0
33,20,RL,85.0,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,Av,Unf,0,0,1234,1234,5,Y,1234,0,1234,2,0,3,4,7,0,None,2,1,3,WD,Normal,179900,6,1,1,1,2,0,0,3702,0,0
34,20,RL,70.0,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,Hip,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,No,Rec,1018,0,380,1398,4,Y,1700,0,1700,1,2,4,4,6,1,4,2,4,5,WD,Normal,165500,5,1,1,51,3,0,0,4798,0,0
35,120,RL,60.0,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,No,GLQ,1153,0,408,1561,5,Y,1561,0,1561,3,0,2,5,6,1,4,2,8,2,WD,Normal,277500,8,1,1,2,3,0,1,4683,0,0
36,60,RL,108.0,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,Av,Unf,0,0,1117,1117,5,Y,1132,1320,2452,3,1,4,4,9,1,4,3,9,1,WD,Normal,309000,9,1,0,2,4,0,1,6021,0,0
37,20,RL,112.0,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0,0,1097,1097,5,Y,1097,0,1097,1,1,3,3,6,0,None,2,6,4,WD,Normal,145000,3,1,0,15,2,0,1,3291,0,0
38,20,RL,74.0,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,No,Rec,1213,0,84,1297,4,Y,1297,0,1297,1,1,3,3,5,1,3,2,10,4,WD,Normal,153000,4,0,0,55,2,0,0,3891,0,0
39,20,RL,68.0,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,GLQ,731,0,326,1057,3,Y,1057,0,1057,2,0,3,4,5,0,None,1,1,5,WD,Abnorml,109000,1,1,0,57,2,0,0,3171,0,0
40,90,RL,65.0,6040,Reg,Inside,Edwards,Duplex,1Story,4,5,Gable,AsbShng,Plywood,None,0.0,3,3,PConc,None,None,None,None,0,0,0,0,3,N,1152,0,1152,2,0,2,2,6,0,None,0,6,3,WD,AdjLand,82000,0,0,1,53,2,0,0,2304,0,0
41,20,RL,84.0,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,No,Rec,643,0,445,1088,5,Y,1324,0,1324,2,0,3,3,6,1,3,2,12,1,WD,Abnorml,160000,4,1,1,41,2,0,0,3736,0,0
42,20,RL,115.0,16905,Reg,Inside,Timber,1Fam,1Story,5,6,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,Gd,BLQ,967,0,383,1350,4,Y,1328,0,1328,1,2,2,3,5,2,4,1,7,2,WD,Normal,170000,5,1,1,48,3,0,0,4006,0,0
43,85,RL,MasVnrArea,9180,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,Av,ALQ,747,93,0,840,4,Y,884,0,884,2,0,2,4,5,0,None,2,12,2,WD,Normal,144000,3,0,1,24,2,0,1,2608,0,0
44,20,RL,MasVnrArea,9200,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,Hip,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,Av,LwQ,280,491,167,938,3,Y,938,0,938,2,0,3,3,5,0,None,1,7,3,WD,Normal,130250,2,0,0,33,2,0,1,2814,0,0
45,20,RL,70.0,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,Gable,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,ALQ,179,506,465,1150,5,Y,1150,0,1150,2,0,3,3,6,0,None,1,5,1,WD,Normal,141000,3,0,1,47,2,0,0,3450,0,0
46,120,RL,61.0,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,No,GLQ,456,0,1296,1752,5,Y,1752,0,1752,3,0,2,5,6,1,4,2,2,5,WD,Normal,319900,9,1,1,5,3,0,1,5256,0,0
47,50,RL,48.0,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,No,GLQ,1351,0,83,1434,5,Y,1518,631,2149,2,1,1,4,6,1,5,2,8,4,WD,Abnorml,239686,8,1,1,6,3,0,1,5732,0,0
48,20,FV,84.0,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,24,0,1632,1656,5,Y,1656,0,1656,2,0,3,4,7,0,None,3,7,2,WD,Normal,249700,8,1,1,1,2,0,0,4968,0,0
49,190,RM,33.0,4456,Reg,Inside,OldTown,2fmCon,2Story,4,5,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,736,736,4,Y,736,716,1452,2,0,2,3,8,0,None,0,6,4,New,Partial,113000,1,0,0,89,2,0,0,3640,0,1
50,20,RL,66.0,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,BLQ,763,0,192,955,5,Y,955,0,955,2,0,3,3,6,0,None,1,1,2,WD,Normal,127000,2,0,1,41,2,0,0,2865,0,0
51,60,RL,MasVnrArea,13869,IR2,Corner,Gilbert,1Fam,2Story,6,6,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Av,GLQ,182,0,612,794,4,Y,794,676,1470,2,1,3,3,6,0,None,2,7,2,WD,Normal,177000,5,1,1,10,3,0,0,3734,0,0
52,50,RM,52.0,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,0,816,816,3,Y,816,0,1176,1,0,3,3,6,1,4,2,9,1,WD,Normal,114500,1,0,0,72,1,0,1,2808,0,0
53,90,RM,110.0,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,Gd,LwQ,104,712,0,816,3,N,816,0,816,2,0,2,3,5,0,None,2,5,5,WD,Normal,110000,1,0,1,47,2,0,1,2448,0,0
54,20,RL,68.0,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,Gable,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,Gd,GLQ,1810,0,32,1842,4,Y,1842,0,1842,2,1,0,4,5,1,4,3,11,1,WD,Normal,385000,9,1,0,25,3,0,1,5526,0,0
55,80,RL,60.0,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,No,ALQ,384,0,0,384,3,Y,1360,0,1360,1,0,3,3,6,1,3,2,2,2,WD,Normal,130000,2,1,1,52,1,0,0,3104,0,0
56,20,RL,100.0,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,Gable,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3,3,No,BLQ,490,0,935,1425,4,Y,1425,0,1425,2,0,3,3,7,1,4,2,7,3,WD,Normal,180500,6,0,1,44,2,0,0,4275,0,0
57,160,FV,24.0,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,Gable,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,No,GLQ,649,0,321,970,5,Y,983,756,1739,3,1,3,4,7,0,None,2,8,4,WD,Abnorml,172500,5,0,0,10,4,0,1,4448,0,0
58,60,RL,89.0,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,0,860,860,5,Y,860,860,1720,2,1,3,4,7,0,None,2,8,1,WD,Normal,196500,6,1,1,2,3,0,0,4300,0,0
59,60,RL,66.0,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,Hip,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,5,3,Gd,Unf,0,0,1410,1410,5,Y,1426,1519,2945,3,1,3,4,10,1,4,3,10,1,New,Partial,438780,9,0,1,0,4,0,1,7300,1,1
60,20,RL,60.0,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,Av,ALQ,632,0,148,780,5,Y,780,0,780,1,0,2,3,4,0,None,1,1,3,WD,Normal,124900,2,0,1,36,1,0,1,2340,0,0
61,20,RL,63.0,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,ALQ,941,0,217,1158,5,Y,1158,0,1158,2,1,3,4,5,0,None,2,5,1,New,Partial,158000,4,1,1,2,3,0,0,3474,0,1
62,75,RM,60.0,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,No,Unf,0,0,530,530,3,N,581,530,1111,1,0,3,2,6,0,None,1,3,2,WD,Normal,101000,0,0,0,87,1,0,0,2752,0,0
63,120,RL,44.0,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,Gable,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,4,Mn,GLQ,24,0,1346,1370,5,Y,1370,0,1370,2,0,2,4,6,1,4,2,10,2,WD,Normal,202500,7,1,1,1,2,0,1,4110,0,0
64,70,RM,50.0,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,Gable,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,576,576,4,Y,902,808,1710,2,0,3,3,9,0,None,2,4,5,WD,Normal,140000,3,1,0,89,2,0,1,3996,0,0
65,60,RL,MasVnrArea,9375,Reg,Inside,CollgCr,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,573.0,3,3,PConc,4,3,No,GLQ,739,0,318,1057,5,Y,1057,977,2034,3,1,3,4,8,0,None,2,2,4,WD,Normal,219500,7,1,0,12,4,0,1,5125,0,0
66,60,RL,76.0,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,344.0,4,3,PConc,5,3,Av,Unf,0,0,1143,1143,5,Y,1143,1330,2473,2,1,4,4,9,1,4,3,10,2,WD,Normal,317000,9,1,0,3,3,0,1,6089,0,0
67,20,RL,MasVnrArea,19900,Reg,Inside,NAmes,1Fam,1Story,7,5,Gable,Plywood,Plywood,BrkFace,287.0,3,3,CBlock,4,3,Gd,GLQ,912,0,1035,1947,3,Y,2207,0,2207,3,0,3,3,7,1,4,2,7,5,WD,Normal,180000,6,0,0,40,3,0,1,6361,0,0
68,20,RL,72.0,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,167.0,4,3,PConc,4,3,Av,GLQ,1013,0,440,1453,5,Y,1479,0,1479,3,0,3,4,7,0,None,2,6,2,WD,Normal,226000,7,1,1,4,3,0,1,4411,0,0
69,30,RM,47.0,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,No,Unf,0,0,747,747,3,Y,747,0,747,1,0,2,3,4,0,None,1,6,5,WD,Normal,80000,0,0,0,65,1,0,0,2241,0,0
70,50,RL,81.0,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,Gable,BrkFace,AsbShng,None,0.0,4,3,CBlock,3,3,No,BLQ,603,0,701,1304,3,Y,1304,983,2287,2,0,3,3,7,1,3,2,7,1,WD,Normal,225000,7,1,1,53,2,0,0,5878,0,0
71,20,RL,95.0,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,Gable,Plywood,Plywood,BrkFace,1115.0,3,4,CBlock,4,3,Gd,ALQ,1880,0,343,2223,5,Y,2223,0,2223,3,0,3,3,8,2,4,2,2,2,WD,Normal,244000,8,0,1,34,3,0,1,6669,0,0
72,20,RL,69.0,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,Gable,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,No,ALQ,565,0,280,845,3,Y,845,0,845,2,0,2,3,4,0,None,2,6,2,WD,Normal,129500,2,0,0,25,2,0,0,2535,0,0
73,60,RL,74.0,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,40.0,3,3,PConc,4,3,No,Unf,0,0,832,832,4,Y,885,833,1718,2,1,3,3,7,1,3,2,12,4,WD,Normal,185000,6,1,1,11,3,0,0,4268,0,0
74,20,RL,85.0,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,3,3,CBlock,3,3,No,ALQ,320,362,404,1086,4,Y,1086,0,1086,2,0,3,3,6,0,None,2,5,5,WD,Normal,144900,3,0,0,56,2,0,0,3258,0,0
75,50,RM,60.0,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,Gambrel,VinylSd,VinylSd,None,0.0,4,4,CBlock,2,3,No,Unf,0,0,840,840,4,N,840,765,1605,2,0,3,3,8,0,None,1,5,5,WD,Normal,107400,1,0,0,95,2,0,0,4050,0,0
76,180,RM,21.0,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,Gable,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,Gd,GLQ,462,0,0,462,3,Y,526,462,988,2,0,2,3,5,0,None,1,11,4,WD,Normal,91000,0,1,1,36,2,0,1,2438,0,0
77,20,RL,MasVnrArea,8475,IR1,Inside,NAmes,1Fam,1Story,4,7,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,No,ALQ,228,0,724,952,5,Y,952,0,952,1,0,2,3,4,0,None,1,4,3,WD,Normal,135750,3,0,1,52,1,0,0,2856,0,0
78,50,RM,50.0,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,BLQ,336,41,295,672,3,Y,1072,213,1285,2,0,2,3,6,0,None,1,1,3,WD,Normal,127000,2,0,0,60,2,0,0,3242,0,0
79,90,RL,72.0,10778,Reg,Inside,Sawyer,Duplex,1Story,4,5,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Unf,0,0,1768,1768,3,N,1768,0,1768,2,0,4,3,8,0,None,0,4,5,WD,Normal,136500,3,0,1,42,2,0,0,5304,0,0
80,50,RM,60.0,10440,Reg,Corner,OldTown,1Fam,2Story,5,6,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,0,440,440,4,Y,682,548,1230,1,1,2,3,5,0,None,2,5,4,WD,Normal,110000,1,0,0,99,2,0,1,2900,0,0
81,60,RL,100.0,13000,Reg,Corner,NAmes,1Fam,2Story,6,6,Gable,VinylSd,VinylSd,BrkFace,576.0,3,4,CBlock,4,3,No,Rec,448,0,448,896,3,Y,1182,960,2142,2,1,4,4,8,1,4,1,6,4,WD,Normal,193500,6,1,1,41,3,0,0,5180,0,0
82,120,RM,32.0,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,Hip,VinylSd,VinylSd,BrkFace,443.0,3,4,PConc,5,4,No,GLQ,1201,0,36,1237,5,Y,1337,0,1337,3,0,2,3,5,0,None,2,3,1,WD,Normal,153500,4,1,1,8,3,0,0,3911,0,0
83,20,RL,78.0,10206,Reg,Inside,Somerst,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,Stone,468.0,3,3,PConc,4,3,No,GLQ,33,0,1530,1563,5,Y,1563,0,1563,2,0,3,4,6,1,4,3,10,3,WD,Normal,245000,8,1,1,1,2,0,1,4689,0,0
